	Title	Price	Links	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description
0	Bán nhà phố Lĩnh Nam, 30m2 5 tầng mt 5.4m, nhỉnh 3 tỷ	3.35 tỷ	https://batdongsan.vn/ban-nha-pho-linh-nam-30m2-5-tang-mt-54m-nhinh-3-ty-r267946	30.0				"+ Ngõ 649 Lĩnh Nam to như phố, thông ra Nam Dư. Gần chợ, gần trường cấp 1+2 Lĩnh Nam.
+ Nhà mình bán ô tô con đỗ cổng, cách ô tô tránh 100M. Giao thông thuận tiện đi lại.
- Tầng 1: Khách + bếp + vệ sinh.
- Tầng 2,3,4: Phòng ngủ + vệ sinh.
- Tầng 5: Phòng thờ + sân phơi.
+ Sổ đỏ chính chủ sẵn sàng giao dịch.
+ LH để xem nhà miễn phí 0819163788"
1	Bán nhà phố Đông Thiên, 31m2 3 ngủ, 2.95 tỷ có thương lượng	2.95 tỷ	https://batdongsan.vn/ban-nha-pho-dong-thien-31m2-3-ngu-295-ty-co-thuong-luong-r267945	31.0				"+ Nhà mình bán ba gác đỗ cửa. Trước nhà thoáng sáng, cách mặt phố Đông Thiên 50m.
+ Chủ xây dựng được vài năm. Khung cột chắc chắn khách về là ở luôn.
+ Thiết kế: 4 tầng 3 ngủ.
+ Sổ đỏ cất két sẵn sàng giao dịch.
+ LH để xem nhà miễn phí 0819163788"
2	Bán nhà phố Lê Thanh Nghị, lô góc, dt 45m2 mt 4.1m, giá 4.95 tỷ	4.95 tỷ	https://batdongsan.vn/ban-nha-pho-le-thanh-nghi-lo-goc-dt-45m2-mt-41m-gia-495-ty-r267944	45.0				"+ Vị trí quá hiếm nhà bán, nằm trọn giữa quần thể các trường Đại học TOP 1: BÁCH - KINH - XÂY và các bệnh viện lớn: Bạch Mai, Tai Mũi Họng, Việt Pháp, Da Liễu.....
+ Nhà lô góc thoáng sáng tự nhiên, ngõ Bagac, gần phố.
- Tầng 1: Khách, bếp, WC.
- Tầng 2, 3: Mỗi tầng 1 ngủ khép kín, ban công siêu rộng.
- Tầng 4: Tum phơi đồ lợp tôn chống nóng.
+ Nhà xây KCBT chắc chắn, khách mua về thêm tầng thoải mái.
+ Sổ đỏ chính chủ.
+ LH để xem nhà miễn phí 0819163788"
3	Bán nhà phố Nguyễn Khoái, 58m2 mt 4.5m, 10 ngủ, kinh doanh, 6.4 tỷ	6.4 tỷ	https://batdongsan.vn/ban-nha-pho-nguyen-khoai-58m2-mt-45m-10-ngu-kinh-doanh-64-ty-r267943	58.0				"+ Nhà sau mặt phố Nguyễn Khoái 1 nhà, vài bước chân ra đường ô tô. Sau quy hoạch mở đường vị trí nhà đẹp vô cùng.
+ Diện tích 54m2, hiện có 10 phòng cho thuê, rất phù hợp kinh doanh nhà nghỉ hoặc phòng trọ. Khu vực kho bãi nhiều công ty và nhân sự ngoại tỉnh đến làm việc, nhu cầu thuê nhà rất lớn.
+ Chủ nhà cực thiện chí bán, giao dịch nhanh, giá chốt có thương lượng thêm cho khách thích.
+ LH để xem nhà miễn phí 0819163788"
4	Tân Bình, hẻm xe tải thông, Lạc Long Quân, 64m2 ngang gần 4m, giá 7.x	7.5 tỷ	https://batdongsan.vn/tan-binh-hem-xe-tai-thong-lac-long-quan-64m2-ngang-gan-4m-gia-7x-r267940	64.0				"* Nhà 4 phòng ngủ, 4 toilet, phòng khách, bếp, giếng trời.
* Hẻm xe tải vi vu, thông thoáng.
* Chủ đang gấp bán. Khách bàn giá nào cũng chốt.
Giá 7.5 tỷ thương lượng.
Liên hệ Oanh xem nhà chính chủ miễn phí."
5	Bán gấp ngộp ngân hàng, thương lượng giá tốt hơn ngân hàng định giá (tầm 9 tỷ)	9 tỷ	https://batdongsan.vn/ban-gap-ngop-ngan-hang-thuong-luong-gia-tot-hon-ngan-hang-dinh-gia-tam-9-ty-r267939	155.0			20/1B Võ Văn Hát, Long Trường, Quận 9, Thành phố Hồ Chí Minh,	"cần bán đất Q9 tặng dãy trọ 8 phòng, diện tích đất 6,6 x 23,6 (thật tế 6,97 x 23,6) đường Võ Văn Hát quận 9 TP Thủ Đức. Ngay khu CNC quận 9, gần trường, chợ... Công nhân đông đúc
Liên hệ xem đất: 0931633331 Nguyệt"
6	ĐẤT NGỘP QUẬN 9	9 tỷ	https://batdongsan.vn/dat-ngop-quan-9-r267938	155.0			20/1B Võ Văn Hát, Long Trường, Quận 9, Thành phố Hồ Chí Minh,	"cần bán đất Q9 tặng dãy trọ 8 phòng, diện tích đất 6,6 x 23,6 (thật tế 6,97 x 23,6) đường Võ Văn Hát quận 9 TP Thủ Đức. Ngay khu CNC quận 9, gần trường, chợ... Công nhân đông đúc
Liên hệ xem đất: 0931633331 Nguyệt"
7	NHÀ HXH BÌNH TÂN, NGAY THOẠI NGỌC HẦU - 10x10 3 TẦNG BTCT, 3PN - CHỈ 4.8 TỶ	4800000 tỷ	https://batdongsan.vn/nha-hxh-binh-tan-ngay-thoai-ngoc-hau-10x10-3-tang-btct-3pn-chi-48-ty-r267937	100.0	3.0	3.0	Hương Lộ 2 Bình Tân	"Mô tả:
???? Kết cấu: 1 trệt 2 lầu đúc BTCT, gồm 3pn, dễ dàng thành 4 hay 5pn theo ý khách.
???? Diện tích: 100m2 ( 10x10 ) hoàn công đầy đủ.
???? Hẻm xe hơi, khu dân trí, sạch sẽ.
???? Nhà ngang rộng hiếm, chủ đang ngăn thành 2 căn vừa ở vừa cho thuê.
???? Vị trí: ngay Ngã Tư 4 Xã, khúc giao Thoại Ngọc Hầu, Bình Long, giáp ranh Tân Phú...
???? Pháp lý: Sổ hồng 1 đời chủ cực vuông, không lỗi phong thuỷ, công chứng nhanh.
=================================
☎️ LH: 0354.29.9320 Anh Tú ( Zalo )"
8	Nhà to mới đẹp hiếm giá tốt, đường Bông Sao, Phường 5, Quận 8	4 tỷ	https://batdongsan.vn/nha-to-moi-dep-hiem-gia-tot-duong-bong-sao-phuong-5-quan-8-r267936	43.0	3.0	3.0		"Nhà mới đẹp hiếm giá tốt, đường Bông Sao, Phường 5, Quận 8
- Diện tích 43m2 kết cấu 1 trệt 2 lầu BTCT
- Hẻm ba gác rộng sạch sẽ
- Khu an ninh yên tĩnh, cách cầu Nhị Thiên Đường chỉ 500m, xung quanh trường Tiểu học, THCS, chợ Nhị Thiên Đường, chợ xóm củi, UBND Q8, Trung tâm VHTT Q8, CA Q8, Trung tâm y tế dự phòng,...Qua Q5 chỉ 5 phút, Q1 10 phút.
- Sổ riêng hoàn công đầy đủ.
- Giá bán chỉ nhỉnh 4 tỷ
- Hàng hiếm trong khu vực
Vui lòng liên hệ thạc sĩ Kiệt chuyên nhà phố gấp để xem nhà, sdt 0907451088"
9	chốt ngay căn biệt thự 162 m2 giá tốt tại Centa Vsip tp Từ Sơn	10050000000 tỷ	https://batdongsan.vn/chot-ngay-can-biet-thu-162-m2-gia-tot-tai-centa-vsip-tp-tu-son-r267933	162.0			KĐT centa Vsip, Phù Chẩn, tp Từ Sơn, Bắc Ninh	"????căn biệt thự song lập 162 m2 tại KĐT Vsip, Từ Sơn, Bắc Ninh tiếp giáp với Ninh Hiệp, Gia Lâm, nơi tập trung 3 khu công nghiệp liên hoàn phát triển kinh tế, tiếp giáp 3 đường cao tốc lớn thuận tiện di chuyển
- Diện tích: 162m2
- DTXD: 67m2
- Tổng 3 sàn: 206m2
- Đường trước nhà rộng 13,5 m rộng rãi, để ô tô
????Pháp lý đầy đủ, rõ ràng, lâu dài
????Môi trường sống xanh, cộng đồng văn minh, công viên nội khu rộng, thuận tiện vui chơi, giải trí, thể thao...

☎️ liên hệ trực tiếp để xem nhà:
Đoàn Toan 0363 444 022"
