Title	Price	Links	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description
Bán GẤP!!! Bán đất tặng nhà ĐỐNG ĐA, 55m2 (5.5x10), Ô Tô, vài bước ra phố, nhỏ 3 tỷ, 0906535828	2.99 tỷ	https://batdongsan.vn/ban-gap-ban-dat-tang-nha-dong-da-55m2-55x10-o-to-vai-buoc-ra-pho-nho-3-ty-0906535828-r262560	52	2	2	Đống Đa, Thành phố Đà Nẵng	"VỊ TRÍ ĐẶC ĐỊA!!! HIẾM!!! KIỆT Ô TÔ ĐỐNG ĐA, huyết mạch giao với Nguyễn Du, Lý Thường Kiệt, Lý Tự Trọng, nơi không có nhà bán!
+ Xác định bán đất tặng nhà, sổ vuông đẹp, công chứng phút mốt.
+ Giá rẻ nhất thị trường chỉ nhỏ 3 tỷ (GIA LỘC)
Liên hệ gấp Mrs.Lan 0906535828 (MIỄN MG,TG)"
Bên em cần ra căn nhà 1 trệt 2 lầu xây xong phần thô ACE quan tâm LH 0797583679	Thỏa thuận	https://batdongsan.vn/ben-em-can-ra-can-nha-1-tret-2-lau-xay-xong-phan-tho-ace-quan-tam-lh-0797583679-r262557	635	5	3	nan	chào A/C em đang kẹt tiền cần ra gấp căn nhà thô đang xây 1 trệt 2 lầu đường rộng 5m , ngay chợ hiệp hoà khu dân cư đông đúc, nhà xây cực kỳ đẹp thổ cư 100% sổ riêng giá thương lượng ACE quan tâm muốn mua Lh 0797583679
Bán nhà Cầu Giấy đường Cầu Giấy ngõ 68 diện tích sử dụng 50m2 chỉ 4,6 tỷ	4.6 tỷ	https://batdongsan.vn/ban-nha-cau-giay-duong-cau-giay-ngo-68-dien-tich-su-dung-50m2-chi-46-ty-r262549	50	3	3	Cầu Giấy	"- Chủ nhà bán căn nhà 2 tầng đẹp đường Cầu Giấy diện tích sử dụng 50m2 mặt tiền 4,5m.
- Ngõ trước nhà rộng, thoáng.
- Nhà cũ xác định bán đất.
- Sổ đỏ chính chủ vuông vắn.
- Giá 4,6 tỷ.
- Liên hệ- MR MẠNH MẶT NGÕ 0367549898- MUA BÁN KI GỬI NHÀ ĐẤT HÀ NỘI"
Bán Nhà Bình Chánh - Hẻm Xe Hơi KIA - 75m - Chỉ Nhỉnh 1 Tỷ	Thỏa thuận	https://batdongsan.vn/ban-nha-binh-chanh-hem-xe-hoi-kia-75m-chi-nhinh-1-ty-r262547	75	nan	nan	Thành phố Hồ Chí Minh	"Bán Nhà Bình Chánh - Vào Ở Ngay - Ngang 5 x 15M Rộng Rãi Thoáng Mát - Cách QUẬN 8 15 Phút - Thuận Tiện Vào Trung Tâm - Tiện Ích Không Thiếu Gì - Nhỉnh 1Tỷ.

DT 75M
Ngang 5 x 15M
Giá 1Tỷ600 (Thương lượng)
LH Sang 0777826387

Mô tả :
+ Nhà 1 tầng, còn mới ở ngay.
+ 1PN 1WC, Phòng khách và bếp rộng rãi thoáng mát. Có sân để xe, trồng cây cảnh sinh khí, tài lộc.

+ Nhà rộng và dài, có thể cải tạo thêm 1PN, hoặc lên tầng.

+ Tiện ích không thiếu gì, gần chợ, gần siêu thị, điện máy, trường học...

+ Thuận tiện về trung tâm, 10ph qua Quận 8, 15-20 Phút qua Quận 5 Quận 1.

+ Nhà mới xây năm 2019, chỉ 1 lớp sơn là mới lung linh.

+ Khu vực chưa có Quy hoạc. Dân cư hiện hữu đông đúc.

+ Cách đường xe hơi khoản 30m.

+ Liên hệ Chính chủ xem nhà."
5.5 Tỷ - Phân lô Oto tránh 2 mặt ngõ - Đội Cấn - Ba Đình - 35M2 x 7 Tầng	5.5 tỷ	https://batdongsan.vn/55-ty-phan-lo-oto-tranh-2-mat-ngo-doi-can-ba-dinh-35m2-x-7-tang-r262546	35	5	6	432 Đội Cấn	"Phân lô OTO - Nhà 2 mặt ngõ - Vị trí điểm - Tầm tiền hiếm

- Ngõ 432 Đội Cấn là ngõ Oto tránh, khu vực VIP quận BA Đình, Vị trí cực đẹp
- Ngõ siêu to khổng lồ, Oto đỗ cửa, Nhà 2 mặt ngõ, thông thoáng trước sau
- Tiện ích ngập tràn, an ninh 10đ

Thiết kế: 35M2 x 7 Tầng. 5 Phòng to rộng thông sàn
Sổ đỏ đẹp đẽ, Pháp lý sạch sẽ. Sẵn sàng công chứng"
Bán gấp nhà khu Vip HADO CENTROSA Quận 10, 53m2, 4 tầng, 5PN, 14,5 tỷ	14.5 tỷ	https://batdongsan.vn/ban-gap-nha-khu-vip-hado-centrosa-quan-10-53m2-4-tang-5pn-145-ty-r262538	53	5	nan	nan	"+ Diện tích 53m2 (3,9 x 14,2), kết cấu 4 tầng BTCT kiên cố.
+ Nhà 1 trệt 2 lầu, sân thượng trước sau, 5PN cực rộng.
+ Đường trước nhà 6m, ô tô đậu tận cửa, khu phân lô vip HADO CENTROSA, khu dân trí cao.
+ Vị trí trung tâm đi đâu cũng thuận tiện, xung quanh đầy đủ tiện ích.
+ Nhà không dính 1cm lộ giới, sổ hồng riệng, pháp lý chuẩn, hoàn công đầy đủ.
+ Giá 14,5 tỷ còn thương lượng.
+ Chi tiết xin vui lòng liên hệ 0984.679.538 – 0934.85.65.38 – Quốc Việt để được hỗ trợ và tư vấn xem nhà 24/7."
SẬP HẦM!!! Nhà Lý Tường Kiệt, Ô tô, 55m2, MT 5m, gần phố, chỉ 2 tỷ 980, 0906535828	2.98 tỷ	https://batdongsan.vn/sap-ham-nha-ly-tuong-kiet-o-to-55m2-mt-5m-gan-pho-chi-2-ty-980-0906535828-r262537	55	2	nan	Thành phố Đà Nẵng	"Rất hiếm có nhà bán, cực kì hiếm nhà SẤP HẦM, 2 mặt kiệt Ô tô, gần phố, Thông với Đống Đa, Lý Thường Kiệt, Trần Quốc Toản, Thái Phiên, không có căn thứ 2
+ sổ vuông đẹp 2 mặt kiệt Ô tô, 51m2 (5x10) , công chứng phút mốt.
+ Giá rẻ nhất thị trường chỉ 2.98 tỷ (GIA LỘC)
Liên hệ gấp Mrs.Lan 0906535828 (MIỄN MG,TG)"
BÁN NHÀ ĐẸP NỞ HẬU- 11M2- 2PN- Tôn Đản- Quận 4 Giá 1.3 tỷ	1.3 tỷ	https://batdongsan.vn/ban-nha-dep-no-hau-11m2-2pn-ton-dan-quan-4-gia-13-ty-r262534	11	2	1	Quận 4	"- Gồm: Trệt + Lầu + Lửng( 2 PN, 1 Toilet )
- Diện tích đất 11m2 Ngang 3.1 dài 3.55
- Hẻm trước nhà rộng thoáng,khoảng 200 m ra tới đường Tôn Đản, 200m ra đường Tân Vĩnh, gần cầu Kinh Tẻ, đường Khánh Hội
- Khu dân chí cao, kinh doanh sầm uất, đầy đủ tiện ích.
- Vị trí trung tâm đi lại thuận tiện qua lại Quận 7 , 5’ là có mặt ở Q1. Xung quanh 200m là các tuyến đường chính của quận 4, vô số những
ngân hàng, văn phòng Công Ty, cửa hàng, Quán cafe,…
Khu dân cư hiện hữu bao test quy hoạch.
Pháp lí sổ hồng riêng Hoàn công đủ
Liên hệ: 0908 069 789 ( Không hợp tác môi giới )."
BÁN NHÀ ĐẸP NỞ HẬU- 11M2- 2PN- Tôn Đản- Quận 4 Giá 1.3 tỷ	750 tỷ	https://batdongsan.vn/ban-nha-dep-no-hau-11m2-2pn-ton-dan-quan-4-gia-13-ty-r262533	11	2	1	Tôn Đản Quận 4	"- Gồm: Trệt + Lầu + Lửng( 2 PN, 1 Toilet )
- Diện tích đất 11m2 Ngang 3.1 dài 3.55
- Hẻm trước nhà rộng thoáng,khoảng 200 m ra tới đường Tôn Đản, 200m ra đường Tân Vĩnh, gần cầu Kinh Tẻ, đường Khánh Hội
- Khu dân chí cao, kinh doanh sầm uất, đầy đủ tiện ích.
- Vị trí trung tâm đi lại thuận tiện qua lại Quận 7 , 5’ là có mặt ở Q1. Xung quanh 200m là các tuyến đường chính của quận 4, vô số những
ngân hàng, văn phòng Công Ty, cửa hàng, Quán cafe,…
Khu dân cư hiện hữu bao test quy hoạch.
Pháp lí sổ hồng riêng Hoàn công đủ
Liên hệ: 0908 069 789 ( Không hợp tác môi giới )."
Bán nhà riêng, hẻm oto đường 38 Hiệp Bình Chánh, Thủ Đức, dt 70m2	7.25 tỷ	https://batdongsan.vn/ban-nha-rieng-hem-oto-duong-38-hiep-binh-chanh-thu-duc-dt-70m2-r262532	70	nan	4	Đường Số 38, Phường Hiệp Bình Chánh, Quận Thủ Đức, TP HCM	"Bán nhà riêng, hẻm oto đường 38 Hiệp Bình Chánh, Thủ Đức, dt 70m2
- Kết cấu 1 Trệt, 1 Lửng 2 lầu 1 tum, 4 PN- 5WC, 1 Phòng Thờ, sân thượng trước sau, có sân để xe hơi.
- Khu dân cư đông đúc, Giao thông đi lại thuận tiện…………………….
- Vị trí: cách chợ Hiệp Bình 300m, trong vòng bán kính 1km có đầy đủ tiện ích Siêu Thị, Banks, Trường Học các cấp... …………..
- Cách Phạm Văn Đồng 1km thuận tiện di chuyển đi Sân Bay, trung tâm TP và các tỉnh lân cận.
- Nhà đẹp , sổ sẵn hoàn công đầy đủ, mua bán công chứng, bàn giao nhà trong ngày.
- Diện tích: 70,2m2 ( 4x17,5), hướng chính Đông.
- Giá bán: 7 tỷ 250 triệu
Liên hệ : 0898 408 677 xem nhà, làm việc chính chủ"
