Title	Price	Links	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description
Bán nhà 9P, doanh thu 480tr/năm, 4x15m, 4 tầng, Tân Thới Hòa, Tân Phú	7.5 tỷ	https://batdongsan.vn/ban-nha-9p-doanh-thu-480trnam-4x15m-4-tang-tan-thoi-hoa-tan-phu-r263300	60	9	nan	Thành phố Hồ Chí Minh	"+ Hẻm xe hơi sát mặt tiền đường Nguyễn Văn Yến, khu vực thông thương sang Tô Hiệu, Phan Anh, Hòa Bình,...
+ Nhà BTCT 1 trệt 3 lầu ST có 9 phòng đang cho thuê, doanh thu 480 triệu/năm
+ Diện tích đẹp 4x15m vuông vức. ( 702 )
+ Giá bán 7 Tỷ 5 . Giấy tờ, pháp lý đầy đủ và hoàn thiện.

Liên hệ: Bội Dư 0899306823 - Hotline: 0934546931"
BÁN NHÀ SIÊU VIP- TỪ LIÊM: 50M - 5 TẦNG	8 tỷ	https://batdongsan.vn/ban-nha-sieu-vip-tu-liem-50m-5-tang-r263299	50	nan	nan	Bắc Từ Liêm	"Mô tả - Thông tin:
* Diện tích: 50 m2: 5 tầng, tiện nghi hiện đại, KCBT chắc chắn. thiết kế nội thất Full 100% siêu mới.
* Vị trí: Đắc địa, kết nối các trục giao thông trọng điểm, Phạm Văn Đồng
* Khu phố văn minh, đoàn kết, ô tô đậu cửa, an ninh an toàn, dân trí cao, ....
* Sổ đỏ chính chủ.
* Giá 8 tỷ (có thương lượng).
* Liên hệ: Mr Dương: 0988.964.655 sẵn sàng tư vấn miễn phí, hỗ trợ giao dịch 24/7."
Bán nhà tái định cư KĐT Phước Long, Đường B9, TP Nha Trang	3 tỷ	https://batdongsan.vn/ban-nha-tai-dinh-cu-kdt-phuoc-long-duong-b9-tp-nha-trang-r263297	120	3	2	nan	"Chỉ 3 tỷ 100tr sở hữu NHÀ tái định cư KĐT VCN PHƯỚC LONG - Rẻ Nhất Khu Vực :

_Diện tích đất 40m2 - ĐẤT Ở ĐÔ THỊ
Kết cấu: 1 Trệt 2 Lầu ,3PN, 1PK, 2WC, 1 Bếp
_Hướng Tây Bắc
_Đường trước nhà 12m
_ Nhà cách biển chỉ hơn 1km
_ Pháp Lý : Sổ Đỏ

Vui lòng liên hệ xem nhà : 0902930696 ."
Bán gấp nhà khu vực vip Linh Đông – Thủ Đức - HXH - 71M2 chỉ hơn 4 tỷ.	Thỏa thuận	https://batdongsan.vn/ban-gap-nha-khu-vuc-vip-linh-dong-thu-duc-hxh-71m2-chi-hon-4-ty-r263296	61	4	2	nan	"Mô tả:

+ Vị trí gần mặt tiền đường số 34, Phạm Văn Đồng, Kha Vạn Cân, Linh Đông.

+ Hiện trạng nhà bê tông cốt thép 1 trệt 1 lầu 2 phòng ngủ khép kín.

+ Gần UBND Phường, trạm y tế phường, chợ Thủ Đức, trường Cao Đẳng Công Nghệ HCM, siêu thị Mega Market.

+ Hẻm rộng rãi, thoáng.

+ Sổ công chứng ngay.

Liên hệ : 0397628804 – Hưng nhà phố"
Nhà hẻm 128 Lê Văn Duyệt, Phường 1, Bình Thạnh, Tp.HCM, 19.1m2, Nở Hậu, Giá 2.95 Tỷ, 4 tầng, 2PN,3WC	2.95 tỷ	https://batdongsan.vn/nha-hem-128-le-van-duyet-phuong-1-binh-thanh-tphcm-191m2-no-hau-gia-295-ty-4-tang-2pn3wc-r263295	19	2	3	Lê Văn Duyệt, Phường 1, Bình Thạnh, Tp.HCM	"GẦN QUẬN 1 - PHÚ NHUẬN - PHAN ĐĂNG LƯU - SỔ NỞ HẬU TÀI LỘC
Mô Tả:
+ Nhà hẻm 128 Lê Văn Duyệt, Phường 1, Bình Thạnh, Tp.HCM.
+ Kết cấu: 1 Trệt, 3 lầu, Sân thượng...
+ Diện tích: 19.1m2 ( ngang 3.6 mét dài 6 mét), Nở hậu.
+ Nhà xinh đẹp với 2 PN + 3 WC.
+ Hẻm to, Xe máy vào nhà.
+ Vị trí sát Quận 1, Phú Nhuận, ...
+ Thuận lơi di chuyển đến các Quận nội thành.
+ Sổ nở hậu tài lộc, công chứng ngay.
Liên hệ: 08624 51379
( Lê Hải - Luật Gia Thổ Cư)"
MT 2 hẻm xe hơi ngay đoạn giao Gò Dầu & Tân Sơn Nhì - Q. Tân Phú - Giá cực ưu đãi	Thỏa thuận	https://batdongsan.vn/mt-2-hem-xe-hoi-ngay-doan-giao-go-dau-tan-son-nhi-q-tan-phu-gia-cuc-uu-dai-r263294	68	nan	nan	nan	"- Diện tích : 4 x 17m, kết cấu 1 trệt + 2 lầu
- Lợi thế :
+ Vị trí mặt tiền hẻm trước sau
+ Khu sầm uất, nhiều văn phòng, dân cư đông đúc
- LH : 0961424392 - làm việc chính chủ
- Nhận ký gửi mua bán & cho thuê nhà đất"
NHÀ ĐẸP 43M, GIÁ HỢP LÝ 3.4 TỶ HOÀNG LIỆT- HOÀNG MAI, GẦN Ô TÔ	3.4 tỷ	https://batdongsan.vn/nha-dep-43m-gia-hop-ly-34-ty-hoang-liet-hoang-mai-gan-o-to-r263292	43	nan	nan	Hoàng Liệt, Hoàng Mai, Hà Nội	"-Nhà mới kính coong, nội thất đẹp, thiết kế hợp lý, hiện đại.
-Vài bước ra ô tô đỗ, bãi đỗ xe giá rất mềm ngay gần nhà.
- Trong vòng 200 là chợ dân sinh, trường cấp 1,2,3 vô cùng tiện lợi.
-Chủ cần bán lắm rồi, khách thiện chí là có giá bất ngờ.
-LH Nguyễn Kiên 0904537729 để xem nhà luôn."
BÁN NHÀ NGỌC HỒI- HOÀNG LIỆT 42M, 5T, NHỈNH 3 TỶ, Ô TÔ SÁT NHÀ	3.68 tỷ	https://batdongsan.vn/ban-nha-ngoc-hoi-hoang-liet-42m-5t-nhinh-3-ty-o-to-sat-nha-r263291	42	4	nan	Ngọc Hồi,Hoàng Liệt, Hoàng Mai, Hà Nội	"+ Diện tích rộng, nhà 5 tầng mới kính koong, phòng khách, bếp riêng biệt, tổng 4 ngủ, phòng thờ, full nội thất long lanh...
+ Nhà có sân để xe riêng biệt, thiết kế hiện đại hợp lý.
+ Ngõ đẹp, nông, thoáng, 50m ra phố ô tô tránh đỗ, gần chợ, hàng xóm thân thiện, cơ sở hạ tầng ngõ đồng đều.
+ Nhà chủ xây tâm huyết để ở, xây cẩn thận, hiện đại.
Sổ nét căng cất két, giao dịch trong ngày.
LH Nguyễn Kiên 0904537729 chuyên thổ cư HN, xem nhà 24/7"
GÒ VẤP, BÁN NHÀ 6 TẦNG, 6PN 8WC, THANG MÁY, DƯƠNG QUẢNG HÀM, CHỈ 11.5 TỶ	11.5 tỷ	https://batdongsan.vn/go-vap-ban-nha-6-tang-6pn-8wc-thang-may-duong-quang-ham-chi-115-ty-r263290	60	6	8	Dương Quảng Hàm, phường 5, quận Gò Vấp, tp.HCM	"LH Tâm BĐS Tel / Zalo 0909 269 706
23159038NM Mô tả
- Vị trí nhà cực đẹp, cách mặt tiền đường Dương Quảng Hàm 1 dãy nhà Mặt tiền, khu vực nhà cao tầng đồng bộ, dân trí khu vực cao, tiện ích bán kính 500m đầy đủ bao gồm Trường Đại học, Vincom, Emart1, Chợ Gò Vấp....
- Đường vào rộng 6-8m thông tứ hướng, hẻm sạch đẹp, hàng xóm dân trí cao.
- Khuôn viên 4 x 15m, CN đủ 60m2 đất.
- Kết cấu nhà xây mới hoàn toàn 1 trệt 1 lững 4 lầu (có thượng), công năng gồm Gragage, Phòng khách , Bếp, Giếng trời, 6 phòng ngũ (khép kín) 8 tolet.
- Nội thất hiện đại cao cấp (hình ảnh), co bố trí thang máy 450kg, tiện lợi di chuyển, nhà mình chỉ việc dọn vào ở ngay thôi.
- Pháp lý chuẩn, sổ hồng chính chủ mới, Tâm làm việc chính chủ
- Giá chỉ 11 tỷ 500 triệu. Có thương lượng.
- Hình ảnh thực, Giá trị thật. Luôn luôn tận tâm hổ trợ. Hãy gọi ngay cho Tâm BĐS."
Nhà cạnh mặt tiền hẻm ô tô, đối diện ĐH Công Nghệ TP. 3,95 tỷ	3.95 tỷ	https://batdongsan.vn/nha-canh-mat-tien-hem-o-to-doi-dien-dh-cong-nghe-tp-395-ty-r263286	39	2	2	Lê Trọng Tấn, Sơn Kỳ, Tân Phú	Nhà xây 1 trệt 1 gác, gồm 2 phòng ngủ. Cạnh mặt tiền, khu vực an ninh. Hẻm ô tô thông thoáng chỉ cách 1 căn nhà. Vị trí đối diện Đại Học Công Nghệ Thực Phẩm, gần Sacombank, xung quanh nhiều tiện ích. Pháp lý chuẩn, chưa mua bán khi nào. Liên hệ anh Võ: 0909 100 817. Không tiếp trung gian.
Nhà trệt 1 lầu 100m2, Đường nhựa 13m thông. Chỉ 580tr sở hữu ngay/ 0868856287	580 triệu	https://batdongsan.vn/nha-tret-1-lau-100m2-duong-nhua-13m-thong-chi-580tr-so-huu-ngay-0868856287-r263285	100	nan	nan	nan	"Nhà trệt 1 lầu 100m2, đường nhựa 13m thông
Chỉ 580tr sở hữu ngay
Cách chợ 700m
Dân hiện hữu
Sổ hồng riêng, full thổ cư
Liên hệ ngay"
