Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Vấn đề pháp lý, sổ đỏ	ExtractedTitle	Address1	Address2
Nhà Sát Mặt Tiền Đường Tân Cảng Phường 25 Bình Thạnh Ngang 4 x 14m, 2 Tầng BTCT Nhỉnh 5 Tỷ	3.4	57	4.0	4.0	Tân Cảng , Phường 25, Bình Thạnh	"Nhà Sát Mặt Tiền Đường Tân Cảng Phường 25 Bình Thạnh Ngang 4 x 14m, 2 Tầng BTCT Nhỉnh 5 Tỷ
Khu VIP Phường 25, ngay Nguyễn Văn Thương, Ung Văn Khiêm. Kế bên là Landmark 81, Pearl Plaza, tập trung nhiều VP Công ty nước ngoài & các trường ĐH lớn. Đường Tân Cảng giao các tuyến đường Nguyễn Hữu Cảnh, đường Cư Xá U Tàu, di chuyển nhanh qua quận 1, quận 3, quận Phú Nhuận, đi đến sân bay Tân Sơn Nhất chỉ 5 - 10 phút
Thông số diện tích 57m2 ( ngang 4m x dài 14m ) công nhận đủ
Kết cấu 1 Trệt 1 lầu Phòng khách bếp sân để xe
Nhà cho thuê dòng tiền 10 triệu/ tháng.
Sổ hồng chính chủ, pháp lý chuẩn, công chứng mua bán ngay
Liên hệ Xuân Nghị để xem và tìm nhà ưng ý miển phí 0987581589"	False	True	True	False	đường Tân Cảng, Phường 25, Quận Bình Thạnh	Tân Cảng , Phường 25, Bình Thạnh	đường Tân Cảng, Phường 25, Quận Bình Thạnh
Bán biệt thự Viglacera Đại Mỗ- khu vip đang phát triển mạnh mẽ- đường xe container đánh võng	5.55			7.0	Từ Liêm	"Mô tả:
- Nhà nằm trong khu Biệt thự Viglacera Đại Mỗ. Khu vực đang phát triển chóng mặt, giá đất cũng tăng nhanh chóng. Rất nhiều siêu dự án chuẩn khởi công.

Nhà nằm ngay mặt ngõ, cách đường Đại Mỗ chỉ khoảng 20m.
- Đường trước nhà , 3 oto tải tránh nhau, vỉa hè 5m để xe thoải mái.
- Nhà 4.5 tầng gara oto rộng để được 2 oto 7 chỗ + vài chục xe máy
- Làm toà nhà văn phòng - kinh doanh chuẩn đét.
- Còn ở thì khỏi bàn, môi trường xung quanh thoáng mát, dân trí cao ngất.

Anh chị nhà đầu tư nhanh tay call em Hải để em dẫn đi khảo sát nhà sớm nhât nha
Sdt: 0896133028 ( có zalo)"	True	False	True	True	đường Đại Mỗ, khu Biệt thự Viglacera Đại Mỗ	Từ Liêm	đường Đại Mỗ, khu Biệt thự Viglacera Đại Mỗ
Bán nhà Thanh Bình, Hà Đông, ô tô đỗ cửa, 39m2, 4.8 tỷ	12.9	39			Thanh Bình, Mỗ Lao, Hà Đông, Hà Nội, -Dự án-	"+Nhà bán nằm ở phố Thanh Bình, ngõ ô tô tránh, thông tứ tung sang Trần Phú, Vũ Trọng Khánh, Nguyễn Văn Lộc, Nguyễn Văn Trỗi, Tố Hữu,..
+Diện tích 39m2, nhà xây 4 tầng, cạnh nhà là sân chơi của nhà Văn Hóa.
+Nhà ngay gần trường mầm non Búp Sen Vàng, tiểu học Trần Phú Phân Hiệu 2, chợ Mỗ Lao, công viên Mỗ Lao, Hồ Gươm Plaza,...
+Chủ nhà anh Bắc giám đốc công ty kinh doanh đồng hồ, nay làm ăn có lộc chuyển sang căn nhà to hơn.
+Giá 4.8 tỷ ( có thương lượng với khách thiện chí )
+Sổ đỏ vuông vắn, sẵn sàng giao dịch.
+Liên hệ E Quân Nhà Đẹp 0934503893 để đi xem nhà ngay."	False	False	True	False	phố Thanh Bình, ngõ ô tô tránh, phường TP, quận Hà Đông	Thanh Bình, Mỗ Lao, Hà Đông, Hà Nội, -Dự án-	phố Thanh Bình, ngõ ô tô tránh, phường TP, quận Hà Đông
Nhỉnh 7 tỷ có nhà đẹp ở ngay, ô tô vào nhà tại Văn Quán.	4.8	42	5.0		Chiến Thắng Văn Quán Hà Đông	"+ Bác Hải giáo viên HV An Ninh Nhân Dân cần bán nhà ở phố Chiến Thắng Văn Quán để chuyển về ở với con cháu.
+Nhà nằm trong khu phân lô HV An Ninh Nhân Dân, khu vực yên tĩnh, dân trí cao, hàng xóm toàn cán bộ, công chức về hưu, con cái thành đạt giỏi giang.
+ Nhà 5 tầng, diện tích 42m2, xây chắc chắn vững chãi, đằng sau có khe thoáng.
+ Đường trước nhà rộng thoáng, 2 ô tô tránh nhau thoải mái, dừng đỗ ngày đêm.
+ Sổ đỏ chính chủ, sẵn sàng giao dịch.
+ Giá 7.5 tỷ ( có thương lượng )
+ Miễn tiếp môi giới và trung gian.
+ Liên hệ E Quân Nhà Đẹp 0934503893 để đi xem nhà ngay."	False	False	True	False	phố Chiến Thắng, Văn Quán	Chiến Thắng Văn Quán Hà Đông	phố Chiến Thắng, Văn Quán
Bán nhà Gò Vấp, HXH Đường số 8 Phường 11, 64m2, 2 tầng chỉ 4.5 tỷ	7.5	64	5.0		Đường Số 8	"MS 26123
* Vị trí: hẻm xe hơi, đường Số 8 Phường 11 Gò Vấp, gần đường Thống Nhất.
* Diện tích 64m2, ngang khủng 7m, 2 tầng, 5 phòng ngủ. Phù hợp để ở, cho thuê, kinh doanh.
* Hẻm xe hơi tới cửa.
* Sổ hồng riêng, pháp lý chuẩn."	False	True	True	False	đường Số 8, Phường 11, Gò Vấp	Đường Số 8	đường Số 8, Phường 11, Gò Vấp
Bán nhà Gò Vấp, HXH Đường số 8 Phường 11, 64m2, 2 tầng chỉ 4.5 tỷ	4.5	64	5.0		Đường Số 8	"MS 26123
* Vị trí: hẻm xe hơi, đường Số 8 Phường 11 Gò Vấp, gần đường Thống Nhất.
* Diện tích 64m2, ngang khủng 7m, 2 tầng, 5 phòng ngủ. Phù hợp để ở, cho thuê, kinh doanh.
* Hẻm xe hơi tới cửa.
* Sổ hồng riêng, pháp lý chuẩn."	False	True	True	False	đường Số 8, Phường 11, Quận Gò Vấp	Đường Số 8	đường Số 8, Phường 11, Quận Gò Vấp
Bán nhà Việt Hưng, 84m² ❌ 6 T, MT6m, 17 tỷ 5(thương lượng)	4.5	84	6.0	6.0		"SIÊU PHẨM VIỆT HƯNG, THANG MÁY, VỈA HÈ Ô TÔ, KINH DOANH VIP, CHO THUÊ ĐÔNG KHÁCH.
Bán nhà Việt Hưng, 84m² ❌ 6 T, MT6m, 17 tỷ 5(thương lượng)
- Vị trí rất đẹp, Kinh doanh Sầm uất, gần khu ĐT Việt Hưng và khu Hành chính công quận Long Biên, khu vực nhiều tiện ích. Hiện tại chủ đang cho thuê VP 30 triệu/tháng.
- Nhà thiết kế rất đẹp, cực kỳ chắc chắn.
- Sổ đỏ chính chủ, sẵn sàng giao dịch.
- Liên hệ xem nhà gọi ngay Chính nhà phố.
☎0️⃣8️⃣6️⃣8️⃣9️⃣5️⃣1️⃣5️⃣9️⃣8️⃣ ZALO."	True	True	True	False	Việt Hưng	Việt Hưng	Việt Hưng
Tân phú khu vip tô hiêu, nhà 3 tầng 4x18m, ô tô, giá rẻ	17.5	72	3.0	3.0	Thành phố Hồ Chí Minh	"-TÂN PHÚ, KHU VIP TÔ HIỆU- GẦN MẶT TIỀN, KẾ CV ĐẦM SEN
-NHÀ MỚI ĐẸP 3 TẦNG 4X18M- KẾ MẶT TIỀN- NỘI THẤT ĐẸP CAO CẤP
Chỉ 5 t.ỷ 5 Tl mạnh, Pháp lý chuẩn.
☎️Zalo 0938059388. Nhà Phố SG.
- Vi trí đẹp, khu vực vip, công năng tiện ích bao quanh, anh ninh, yên tĩnh.
#nhaphosg,#nhagiare,#tphcm."	False	False	True	False	Tân Phú, Khu Vip Tô Hiêu	Thành phố Hồ Chí Minh	Tân Phú, Khu Vip Tô Hiêu
Nhà đẹp bán gấp Tăng Nhơn Phú,60m2 ,3PN,ô tô đậu,đang cho thuê	5.38	60	3.0	2.0	tăng nhơn phú , tp. thủ đức	"Nhà đẹp bán gấp Tăng Nhơn Phú,60m2 ,3PN,ô tô đậu,đang cho thuê
Vị trí : Tăng Nhơn PHú, P. Tăng Nhơn Phú B, Tp. Thủ Đức
Diện tích : 4,5x14m
Nhà 2 tầng 3PN, 2WC ,chắc chắn , nội thất gỗ
Hẻm thông thoáng , ô tô đậu
Nhà cho thuê dòng tiền 6,5 tr
Ngân hàng hỗ trợ vay 3 tỷ
Chủ kẹt tiền thương lượng bán gấp
......
Nhà Thật , ảnh thật
Liên hệ em Linh xem nhà ạ"	True	True	True	False	Tăng Nhơn Phú, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức	tăng nhơn phú , tp. thủ đức	Tăng Nhơn Phú, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức
Nhà phố Nguyễn Chí Thanh,50m,ngay bãi gửi ô tô,gần chợ,dân trí cao,7.4 tỷ,0348051001	4.9	50				"Nhà phố Nguyễn Chí Thanh,50m,ngay bãi gửi ô tô,gần chợ,dân trí cao,7.4 tỷ,0348051001
Mô tả:
+ Vị trí nhà ở ngõ của đường Nguyễn Chí Thanh, 10m ra đường ô tô, 20m ra bãi gửi ô tô.
+ 4 tầng chủ xây chắc chắn, khu vực dân trí cao
+ xung cách trường Đại học lớn như Đại học Luật Hà Nội, Học viện Thanh thiếu niên Việt Nam, Đại học Văn hóa - Nghệ thuật Quân Đội.
Tầng 1: Để xe, phòng khách, bếp, vệ sinh.
Tầng 2+3: Mỗi tầng 2 ngủ, vệ sinh giữa.
Tầng 4: Phòng thờ, sân phơi
+ Sổ đỏ vuông, chính chủ, giao dịch ngay.
+ Giá 7.4 tỷ ra lộc nhẹ.
Lh:E Trí 0348051001 để được kết nối gặp chủ nhà đàm phán ngay.(Miễn TG, môi giới)"	True	True	True	False	Ngõ Nguyễn Chí Thanh, Quận...	Ngõ Nguyễn Chí Thanh, Quận...	Ngõ Nguyễn Chí Thanh, Quận...
