Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Vấn đề pháp lý, sổ đỏ	ExtractedTitle	Address1	Address2
BÁN NHÀ HẺM 8M MÃ LÒ, BÌNH TÂN, TẶNG NỘI THẤT XỊN 5,2 TỶ TL 0948362610	3.5	46			Mã Lò, Bình Trị Đông A, Bình Tân	"Bán nhà hẻm nhựa 8m thông xe tải tránh nhau đường Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, Lh 0948362610.
● Diện tích: 3.8m x 12m (nở hậu 4.26m)
● Kết cấu: 01 trệt 2 lầu, sân thượng gồm 3pn, 3wc, thiết kế riêng 1 phòng Karaoke chuyên nghiệp, tha hồ xả stress, tiếp khách…
● Tiện ích: Tặng full nội thất, Trệt có gara đậu xe 7 chổ trong nhà, Cách mặt tiền Mã Lò 1 căn, hẻm nhựa rộng, cách BV Quận Bình Tân 300m, Coopmart, Trường học, CA Phường… Loanh quanh đủ tiện ích chỉ bán kính trong 1km.
● Hướng: Đông tứ trạch.
● Pháp lý: Sổ hồng trao tay."	False	False	True	False	đường Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân	Mã Lò, Bình Trị Đông A, Bình Tân	đường Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân
Bán hạ giá mặt tiền Tân Phú ngay Tân Sơn Nhì 80m2 5 tầng, đỉnh kinh doanh chỉ 11 tỷ.	5.2	80	6.0	5.0		"***KHU SẦM UẤT, KINH DOANH MỌI NGÀNH NGHỀ.
_ Nhà 5 tầng ngang rộng 4m, có phòng thờ, 6 phòng ngủ, sân thượng trước sau.
_ Sổ nở hậu tài lộc, nhà hoàn công đủ.
_ Chủ nhà định cư gấp cần bán đã hạ giá 1,5 tỷ cho khách thiện chí mua.
_ Được hỗ trợ về pháp lý và thương lượng giá tốt.
LH: 0858346038 hoặc 0868590168 ( em Diễm)
Kygo"	False	False	True	False	Tân Phú, Tân Sơn Nhì	Tân Phú, Tân Sơn Nhì	Tân Phú, Tân Sơn Nhì
Chỉ hơn 2 tỉ, sở hữu nhà 3 tầng view sông, cách con sông sang đất vàng Ninh Hiệp	11	188	4.0	5.0	Khu đô thị Vsip Từ Sơn, Bắc Ninh	"Còn 01 căn duy nhất view sông, tiềm năng tăng trường cực lớn tại Vsip Từ Sơn, Bắc Ninh
+ Diện tích: 90m2, DTXD: 188m2
+ Hoàn thiện thô và mặt ngoài 3 tầng
+ Vi trí thông thuỷ, phong thuỷ cực tốt
+ Chỉ cách con sông sang đất Ninh Hiệp Hà Nội, tiềm năng tăng trưởng cực lớn
+ Giá: hơn 2 tỉ
Liên hệ ngay: Ms Hường 0364 221 333 để tư vấn và đưa đi xem nhà."	False	False	True	False	Vsip Từ Sơn, thành phố Bắc Ninh	Khu đô thị Vsip Từ Sơn, Bắc Ninh	Vsip Từ Sơn, thành phố Bắc Ninh
Chính chủ kẹt tiền ngân hàng bán gấp nhà trung tâm hẻm đường Nguyễn Đình Chính, P.11, Phú Nhuận	2550	36			Nguyễn Đình Chính, Phường 11, Phú Nhuận	"✅ Diện tích: 3.5 x 10.3m, diện tích sàn 122.6m2
✅ Kết cấu 1 trệt 2 lầu + sân thượng
✅ Gồm 1 phòng khách, phòng bếp, 4 phòng ngủ, 3 nhà vệ sinh
‼️ Vị trí trung tâm cách đường Nguyễn Văn Trỗi, cầu Công Lý 100m
‼️ Sổ hồng riêng
❌ Giá: 3tỉ780
‼️ Liên hệ: 0785.116.410 (Hoàng My)"	True	True	True	False	đường Nguyễn Văn Trỗi, phường 11, quận Phú Nhuận	Nguyễn Đình Chính, Phường 11, Phú Nhuận	đường Nguyễn Văn Trỗi, phường 11, quận Phú Nhuận
Chỉ 3,x tỷ ( cả nhà 4 tầng và cả đất ) khu đô thị Vsip Từ Sơn	3780000000	75			Khu đô thị Vsip Từ Sơn, Bắc Ninh	"Nhà 4 tầng - 75m² - 210m² xây dựng, kinh doanh và ở đều tốt. ❌ Chỉ 3,x tỷ ❌ ( cả nhà cả đất )
✅ Vị trí giao thoa kết nối đi Hà Nội, Hải Phòng, Sân bay Nội Bài.

✅ Centa Diamond tọa lạc vị trí đắc địa, trái tim kết nối 3 KCN lớn nhất của Bắc Ninh: KCN Vsip KCN Đại Đồng Hoàn Sơn KCN Tiên Sơn.
✅ Dân cư đông vui sầm uất hiện hữu sẵn, kinh doanh gì cũng lợi.
✅ Tích lũy tài sản bền vững.
✅ 5 phút tới cao tốc Hà Nội - Lạng Sơn.
6 phút tới trung tâm hành chính Từ Sơn.
10 phút tới thành phố Bắc Ninh.
15 phút tới trung tâm thủ đô Hà Nội.
30 phút tới sân bay Nội Bài.
Liên hệ: Ms Hường 0364 221 333"	False	False	True	False	Vsip Từ Sơn	Khu đô thị Vsip Từ Sơn, Bắc Ninh	Vsip Từ Sơn
BÁN NHÀ C4 - 60m2 - Phường Hiệp Bình Chánh - TP Thủ Đức	3550	61	2.0	1.0	Hẻm 49. Đường số 47 Phường Hiệp Bình Chánh TP.Thủ Đức	"Cần bán gấp
Căn nhà C4, Hiện đang ở
+ Nhà kết cấu 2 PN rộng lớn, công năng đủ cho 1 đại gia đình.
+ Trước nhà có chỗ để xe tầm 5 chiếc, bên hông nhà gia chủ bố trí lối đi rộng 1m, tạo độ thoáng cho căn nhà.
+ Hẻm ba gác rộng, cách mặt tiền số 47 vài bước chân
Vị trí nhà ở hẻm 49 đường số 47 Phường Hiệp Bình Chánh Thủ Đức
Diện tích ngang 4.2m nở hậu 5.1m. Dài 13m
Tổng diện tích 61m2
Vị trí nhà ko dính các quy hoạch treo,sổ riêng - hoàn công
Giá chỉ có 3ty thôi ( 61m2 đất ở HBC, ko dính các quy hoạch treo mà giá 3ty,thì ko tìm được căn thứ 2 )
Quý anh chị quan tâm lhe em Hiếu 24/7 để xem nhà + sổ"	False	True	True	False	hẻm 49, đường số 47, Phường Hiệp Bình Chánh, TP Thủ Đức	Hẻm 49. Đường số 47 Phường Hiệp Bình Chánh TP.Thủ Đức	hẻm 49, đường số 47, Phường Hiệp Bình Chánh, TP Thủ Đức
BÁN NHÀ 1L, 48M2, NGAY ST AEONMALL - TÂN PHÚ, HẺM 4M THÔNG	3	48	2.0	2.0	Đường Tân Quý	"NHÀ 2 TẦNG - NGAY SIÊU THỊ AEON TÂN PHÚ - KHU ẨM THỰC PHỐ TÂN QUÝ - CN 49M2 - CHỈ NHỈNH 4 TỶ
- Kết cấu 1 trệt 1 lầu BTCT 2 pn, 2wc ban công, công nhận đủ 48.2m2. Nhà như mới vào ở ngay.
- DT : Ngang 4 dài 12,5 _ Hướng Bắc.
- Hẻm thông thoáng, cực kỳ an ninh, yên tĩnh.
- Sổ Hồng Riêng, hoàn công đầy đủ, công chứng nhanh.
Giá: 4 ty 850 còn Thương Lượng
LH: 0879091717 xem nhà"	False	False	True	False	Ngay siêu thị Aeon, khu ẩm thực phố Tân Quý, Đường 49M2	Đường Tân Quý	Ngay siêu thị Aeon, khu ẩm thực phố Tân Quý, Đường 49M2
BÁN NHÀ ĐẸP NGAY AEON MALL TÂN PHÚ, BÌNH TÂN, 3,33 TỶ TL 0948362610	4850000	49			Hương Lộ 3, Bình Hưng Hòa, Bình Tân	"BÁN NHÀ ĐẸP NGAY AEON MALL TÂN PHÚ, BÌNH TÂN, 3,33 TỶ TL 0948362610
+ Vị Trí: đối diện Aeon Mall Tân Phú, Bình Hưng Hòa, Bình Tân.
+ Kết cấu: 1 trệt 1 lầu, 2pn 2wc, nhà mới ở ngay.
+ Hẻm sát mặt tiền ô tô tránh.
+ Pháp lý: Sổ hồng trao tay."	False	True	True	False	đối diện Aeon Mall Tân Phú, Phường Bình Hưng Hòa, Quận Bình Tân	Hương Lộ 3, Bình Hưng Hòa, Bình Tân	đối diện Aeon Mall Tân Phú, Phường Bình Hưng Hòa, Quận Bình Tân
Sổ NỞ HẬU Bán nhà CMT8 Phường 5 Tân Bình, gần 45m2 giá chỉ 4 tỷ nhí	3.33	45				"- NGAY PHẠM VĂN HAI. 45M2 - 4 TỶ NHÍ - NỞ HẬU - DÒNG TIỀN 10TR/ THÁNG
- DT gần 45m2 CMT8 cực hiếm
- Trước đây chủ cho thuê 10 tr tháng
- Tiện ích: gần chợ Ông Tạ, CV LÊ THỊ RIÊNG , trường học Tân Bình, thuận tiệ qua Q3, Q10, Phú Nhuận
- Giá có 4 tỷ nhỉnh- nở hậu tài lộc"	False	True	True	False	CMT8, Phường 5, Quận Tân Bình	CMT8, Phường 5, Quận Tân Bình	CMT8, Phường 5, Quận Tân Bình
Bán nhà Nguyễn Văn Lượng đối diện Lottemart Gò Vấp 3PN 40M2 nhà mới sạch sẽ 3.9 tỷ	4.49	40	3.0	3.0	Nguyễn Văn Lượng	"Bán nhà Nguyễn Văn Lượng Phường 17 Gò Vấp trục đường trung tâm hành chính quận
+ Nhà hẽm 3,5 m đối diện Lottemart khu nhà city land
+ Diện tích: 4x10m
+ Kết cấu: 1 trệt 1 lầu 3PN, 2WC nhà mới full nội thất
+ Nhà thuận tiện kinh doanh dòng tiền
+ Gía chỉ 3,9 tỷ thương lượng mạnh cho khách thiện chí
+ Hổ trợ vay ngân hàng"	False	True	True	False	Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp	Nguyễn Văn Lượng	Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp
