Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Vấn đề pháp lý, sổ đỏ	ExtractedTitle	Address1	Address2
BÁN NHÀ HXT NGUYỄN SƠN, TÂN PHÚ - 58M (4x14.5 ) A4 - NHÀ ĐẸP 3 TẦNG BTCT - CHỈ 4 TỶ 1.	17	58	3.0		Thành phố Hồ Chí Minh	"Mô tả:
???? Kết cấu: 1 trệt 1 lầu sân thượng, phòng khách, bếp.
???? Diện tích: 58m2 ( 4x14.5 ) công nhận đủ.
???? Hẻm xe tải gần mặt tiền, an ninh, dân trí.
???? Vị trí cực đẹp, nằm ngay khu vip Tân Phú, Thoại Ngọc Hầu, Tân Hương, Gò Dầu, 5p đến Aeon Mall Tân Phú, tiếp giáp Bình Tân, Tân Bình.
???? Sổ hồng vuông, pháp lý chuẩn công chứng ngay.
==================================
???? Hãy gọi xem nhà ngay: 0354 299 320"	False	False	True	False	Nguyễn Sơn, Quận Tân Phú	Thành phố Hồ Chí Minh	Nguyễn Sơn, Quận Tân Phú
Nhà 6PN, hẻm ô tô tiện kinh doanh, ngay Chợ Vải Tân Bình, 6.7 tỷ	4.1	48	6.0	5.0	Lạc Long Quân, P.8, Tân Bình	Nhà kết cấu 1 trệt 1 lững 2 lầu, sân thượng, tổng 6 phòng ngủ, 5 vệ sinh. Hẻm trước nhà thông ô tô đỗ cửa. Vị trí ngay chợ Vải Tân Bình, tiện đi các hướng. Nhà phù hợp gia đình lớn ở, làm VP công ty, kinh doanh, spa, cho thuê,.. Nhà vay được 5,5 tỷ. Liên hệ anh Võ: 0909 100 817. Không tiếp trung gian.	False	False	True	True	Chợ Vải Tân Bình, Quận Tân Bình	Lạc Long Quân, P.8, Tân Bình	Chợ Vải Tân Bình, Quận Tân Bình
BÁN NHÀ BÌNH TÂN, GIÁP TÊN LỬA, 45M2 2T 2,7 TỶ LH 0948362610	6.7	45			Lê Đình Cẩn, Tân Tạo, Bình Tân	"BÁN NHÀ BÌNH TÂN, GIÁP TÊN LỬA, 45M2 2T 2,7 TỶ LH 0948362610
_ Hẻm thông cách hẻm xe tải nhựa chỉ 20m, nhà mới 90% vào ở ngay.
_ Diện tích 45m2, ngang 4,4 dài 10,3m.
_ Kết cấu 1 trệt 1 lửng.
_ Vài bước chân ra chợ, khu vực xung quanh đầy đủ tiện ích, Bệnh viện Bình Tân, Chợ Bình Trị Đông, giáp Quận 6,...
_ Sổ hồng riêng, A4, mua bán công chứng ngay.
_ Liên hệ Hoa kho nhà 1000 căn xem ngay gọi 0948362610"	False	False	True	False	Giáp Tôn Lễ, Quận Bình Tân	Lê Đình Cẩn, Tân Tạo, Bình Tân	Giáp Tôn Lễ, Quận Bình Tân
BÁN NHÀ BÌNH TÂN, LÊ VĂN QUỚI, 44M2 3T 3,85 TỶ LH 0948362610	2.7	44			Lê Văn Quới, Bình Hưng Hòa A, Bình Tân	"BÁN NHÀ BÌNH TÂN, LÊ VĂN QUỚI, 44M2 3T 3,85 TỶ LH 0948362610
_ Hẻm ô tô thông cách hẻm xe tải nhựa chỉ 20m, nhà mới 90% vào ở ngay.
_ Diện tích công nhận 44m2, ngang 4 dài 11m.
_ Kết cấu 1 trệt 1 lửng 1 lầu, 3PN, 2WC.
_ Vài bước chân ra chợ, khu vực xung quanh đầy đủ tiện ích, Chợ Lê Văn Quới, giáp chợ Tân Hương, cách Aeon Mall Tân Phú 1km,...
_ Giáp Tân Phú, Quận 11,...
_ Sổ hồng riêng A4, hoàn công đủ mua bán công chứng ngay, không quy hoạch, chủ dễ thương thiện chí bán.
_ Liên hệ Hoa kho nhà 1000 căn xem ngay gọi zalo 0948362610"	False	False	True	False	Lê Văn Quới, Quận 11	Lê Văn Quới, Bình Hưng Hòa A, Bình Tân	Lê Văn Quới, Quận 11
BÁN NHÀ BÌNH TÂN, LÊ VĂN QUỚI, 44M2 3T 3,85 TỶ LH 0948362610	3.85	44			Lê Văn Quới, Bình Hưng Hòa A, Bình Tân	"BÁN NHÀ BÌNH TÂN, LÊ VĂN QUỚI, 44M2 3T 3,85 TỶ LH 0948362610
_ Hẻm ô tô thông cách hẻm xe tải nhựa chỉ 20m, nhà mới 90% vào ở ngay.
_ Diện tích công nhận 44m2, ngang 4 dài 11m.
_ Kết cấu 1 trệt 1 lửng 1 lầu, 3PN, 2WC.
_ Vài bước chân ra chợ, khu vực xung quanh đầy đủ tiện ích, Chợ Lê Văn Quới, giáp chợ Tân Hương, cách Aeon Mall Tân Phú 1km,...
_ Giáp Tân Phú, Quận 11,...
_ Sổ hồng riêng A4, hoàn công đủ mua bán công chứng ngay, không quy hoạch, chủ dễ thương thiện chí bán.
_ Liên hệ Hoa kho nhà 1000 căn xem ngay gọi zalo 0948362610"	False	False	True	False	đường Lê Văn Quới, Quận 11	Lê Văn Quới, Bình Hưng Hòa A, Bình Tân	đường Lê Văn Quới, Quận 11
Gấp bán nhà 1/ Hương Lộ 2 sát MT, Nở Hậu 4.7M DT 60M2, giá chỉ 2tỷX	3.85	60			Thành phố Hồ Chí Minh	"????Vị trí sầm uất ngay Ngã Tư Bốn Xã, Hương Lộ 2, Lê Văn Quới, giáp Tân Phú, Q11

+ Diện tích : Ngang 4.3m Nở hậu 4.7 x 14 = 60m2 + Trệt, 1 lầu, 2PN mới , ban công cực chill, chỉ việc xách vali vào ở.

+ Đặc Biệt Sân để xe thoải mái.

+ SHR, hoàn công đầy đủ, công chứng nhanh (BT135)

????Xem nhà alo Bội Dư 089.930.6823 - MTG"	False	False	True	True	Ngã Tư Bốn Xã, Hương Lộ 2, Quận 11	Thành phố Hồ Chí Minh	Ngã Tư Bốn Xã, Hương Lộ 2, Quận 11
VÕ CHÍ CÔNG, CẦU GIẤY – NHÀ LÔ GÓC – NGÕ RỘNG XE BA GÁC – DÂN TRÍ CAO – 4.68 TỶ	2.9	36	5.0	4.0		"VÕ CHÍ CÔNG, CẦU GIẤY – NHÀ LÔ GÓC – NGÕ RỘNG XE BA GÁC – DÂN TRÍ CAO – 4.68 TỶ
Nằm trong khu đô thị Tây Hồ Tây, vị trí đẹp, thoáng mát, dân trí cao, tiện ích đầy đủ
DT 36m2 x 5 tầng, đầy đủ công năng, ngõ rộng rãi, thoáng, xe ba gác phi ầm ầm
Sổ đỏ chính chủ, sẵn sàng giao dịch – Giá 4.68 Tỷ (Có thương lượng)
Liên hệ: 0825.420.555"	False	False	True	False	Khu đô thị Tây Hồ Tây, Cao Giầy	Khu đô thị Tây Hồ Tây, Cao Giầy	Khu đô thị Tây Hồ Tây, Cao Giầy
BÁN NHÀ KINH DƯƠNG VƯƠNG, GIÁP TÊN LỬA, 82M2 2T 4,7 TỶ LH 0948362610	4.68	82			Kinh Dương Vương, An Lạc, Bình Tân	"BÁN NHÀ KINH DƯƠNG VƯƠNG, GIÁP TÊN LỬA, 82M2 2T 4,7 TỶ LH 0948362610
_ Hẻm ô tô, nhà sửa sang 1 chút ở ngay.
_ Diện tích công nhận 82m2, ngang 4,3 dài 19m.
_ Kết cấu 1 trệt 1 lầu, 3PN, 2WC.
_ Đầy đủ tiện ích, đi bộ ra Trường Cấp 1, mẫu giáo, chợ An Lạc, Bicg C, Aeon Mall Tên Lửa,...
_ Giáp Quận 6, Võ Văn Kiệt, Lê Cơ,...
_ Sổ hồng riêng A4, hoàn công đủ mua bán công chứng ngay.
_ Liên hệ Hoa kho nhà 1000 căn xem ngay gọi zalo 0948362610"	False	False	True	False	Kinh Dương Vương, Quận 6	Kinh Dương Vương, An Lạc, Bình Tân	Kinh Dương Vương, Quận 6
Chú Tư gửi Bán Nhà Lý Thánh Tông, 4.2x8.2M DT 34M2, HXT Đỗ Cửa, chỉ 2.799tỷ	4.7	34			Thành phố Hồ Chí Minh	"+ Nhà ban công thoáng mát, sân để xe thoải mái

+ Vị trí tuyệt đỉnh Hẻm xe tải đỗ cửa, gần chợ , gần UBND Quận Tân Phú, Luỹ Bán Bích, Tô Hiệu, Lý Thánh Tông...

+ Sổ hồng riêng chính chủ, nở hậu đẹp, công chứng ngay. (TP137)

????Xem nhà alo Bội Dư 089.930.6823 - MTG"	False	False	True	False	Lý Thánh Tông, Quận Tân Phú	Thành phố Hồ Chí Minh	Lý Thánh Tông, Quận Tân Phú
Giảm 500tr! Nhà Thái Hà 2 mặt tiền, phân lô ô tô 7 chỗ ngủ trong nhà, S: 62,7m2 * MT 6,6 m * 5 tầng	2799	62			Thái Hà, Đống Đa, Hà Nội	"PHỐ VIP THÁI HÀ - PHÂN LÔ Ô TÔ 7 CHỖ NGỦ TRONG NHÀ - KD VĂN PHÒNG - NHÀ DÂN XÂY Ở CỰC KỲ SƯỚNG

Nhà phố Thái Hà - Trung tâm quận Đống Đa, mặt tiền 6,6m, sổ đẹp vuông vắn, diện tích: 62,7m² * 5T
Giá chào: 15.9 tỷ/ có thương lượng nhẹ

- Vị trí nhà cực đẹp, sung quanh là các trường Đại Học lớn của Thủ Đô Hà Nội.
- Thiết kế:
+ Tầng 1 ga ra ô tô, wc.
+Tầng 2: phòng khách, bếp, wc.
+Tầng 3,4: Mỗi tầng 2 phòng ngủ, wc.
+Tầng 5 phòng thờ, sân phơi.
- Mặt ngõ sau chủ cho thuê 8 triệu/ tháng.
- Sổ đỏ chính chủ.

Liên hệ ngay Mr Giang: 0987 285 248 để được tư vấn và xem nhà miễn phí!
Cảm ơn Quý Cô/Chú/Anh/Chị đã đọc tin!"	False	True	True	False	Đống Đa, Thái Hà	Thái Hà, Đống Đa, Hà Nội	Đống Đa, Thái Hà
NHỈNH 6 TỶ Ở NHÀ ĐẸP 6 TẦNG – THANG MÁY – LÊ TRỌNG TẤN – MT 4.5M	6.8	34			Lê Trọng Tấn, Khương Mai, Thanh Xuân, Hà Nội	"+Vị trí nhà rất đẹp phố VIP Lê Trọng Tấn quận Thanh Xuân gần các tuyến đường huyết mạch Trường Chinh, Giải Phóng.
+5 phút tới ĐH Y, ĐH Kinh Tế, ĐH Xây Dựng, ĐH Bách Khoa, ĐH Công Đoàn, ĐH Thủy Lợi, Bệnh Viện Xậy Dựng, BV ĐH Y.
+Hàng xóm Đại tá quân đội an ninh tuyệt vời, dân trí cao, quanh nhà trường mầm non, C1-C3.
+Nhà thiết kế mới khoa học, hiện đại thông tầng, 03 phòng ngủ.
+Sổ đỏ chính chủ, sẵn sàng giao dịch
Liên hệ: Mr. Thái Sơn chuyên nhà đẹp Thanh Xuân-Đống Đa
Để được xem nhà và tư vấn miễn phí 24/7
Gọi ngay: 0393838449 (Zalo)"	False	False	True	False	Lê Trọng Tấn, Quận Thanh Xuân	Lê Trọng Tấn, Khương Mai, Thanh Xuân, Hà Nội	Lê Trọng Tấn, Quận Thanh Xuân
