Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Vấn đề pháp lý, sổ đỏ	ExtractedTitle	Address1	Address2
Bán nhà mới Việt Hưng, lô góc 51m x 6 tầng, thang máy, ô tô, full nội thất, 9 tỷ 2	1.9	51	6.0	5.0	Long Biên	"- Bán căn nhà mới đẹp tại Việt Hưng, Long Biên, nhà lô góc, nở hậu hoàn thiện đẹp đầy đủ nội thất, diện tích đất 51m, xây dựng 55m x 6 tầng, ô tô vào nhà, thang máy nhập khẩu.
- Nhà nằm vị trí ngay sát đường lớn, ngõ rộng ô tô thông các ngả, nhà lô góc 2 thoáng vĩnh viễn đẹp.
- Khu vực dân trí cao, phố kinh doanh ngày đêm, nhà ngay kế cận với khu đấu giá Việt Hưng, vài bước chân là sang Vinhomes Riverside - The Harmony. Giao thông kết thuận tiện đi các hướng như KĐT Việt Hưng, Sài Đồng, Vũ Đức Thân, Ngô Gia Tự, ...
- Hiện nhà mới hoàn thiện xong, thiết kế xây dựng hiện đại, nội thất đầy đủ, thang máy nhập khẩu, khách chỉ việc mang quần áo về ở. Nhà 6 tầng bao gồm:
+ Tầng 1: gara hoặc văn phòng.
+ Tầng 2: phòng Master, vệ sinh khép kín hoặc kd nhà hàng.
+ Tầng 3: phòng Master, vệ sinh khép kín.
+ Tầng 4: 2 phòng ngủ đơn + VS Ngoài
+ Tầng 5: Bếp + phòng ăn + khách cực thoáng.
+ Tầng 6: phòng thờ + giặt + sân phơi
- Sổ đỏ nở hậu sẵn sàng sang tên.
ĐTLH: 0904.882258"	False	False	True	False	Việt Hưng, Long Biên	Long Biên	Việt Hưng, Long Biên
Bán nhà Hoàng Quốc Việt- Cầu Giấy 33m2x5 tầng.	9.2	33	3.0	4.0		"-Nhà nằm vị trí đẹp thuận tiện đi khắp ngả. Cách ô tô tránh chưa đến 50m.
Nhà xây 5 tầng kiên cố, chắc chắn, hai thoáng trước sau, phía sau nhà là khoảng sân rộng 5m nhà mình được phép sử dụng. Ngõ rộng, ô tô tránh cách nhà 30m.
Thiết kết:
Tầng 1: Bếp, khách, vs.
Tầng 2,3,4: 3 Phòng ngủ khép kín.
Tầng 5: Phòng thờ. Sân phơi.
Sổ đỏ vuông đẹp,
A/c có nhu cầu lh 093970255 ( miễn trung gian)"	False	False	True	False	số 33, Hoàng Quốc Việt, Cầu Giấy	số 33, Hoàng Quốc Việt, Cầu Giấy	số 33, Hoàng Quốc Việt, Cầu Giấy
NHÀ 46M2 (4×11.5) - 3 PHÒNG NGỦ - NỞ HẬU - HẺM XE HƠI - LÊ ĐÌNH CẨN BÌNH TÂN- NHỈNH 2 TỶ	5	46				"NHÀ 46M2 (4×11.5) - 3 PHÒNG NGỦ - NỞ HẬU - HẺM XE HƠI - LÊ ĐÌNH CẨN BÌNH TÂN- NHỈNH 2 TỶ
- Nhà 1 trệt, 1 Lầu, 3 phòng ngủ, 2WC. Phù hợp mua ở hoặc mua cho thuê giữ tiền, kinh doanh online,…
- Hẻm xe hơi, giáp khu Tên Lửa - Aeon Mall.
- Sổ Hồng riêng chính chủ, nở hậu.
Liên hệ 0904552026 để được hỗ trợ xem nhà"	False	True	True	False	Lê Đình-CN, Bình Tân	Lê Đình-CN, Bình Tân	Lê Đình-CN, Bình Tân
NHÀ ĐẸP BÌNH TÂN – GIÁP QUẬN 6 – HẺM XE HƠI THÔNG - 03PN – 4WC - 03 TẦNG – DTSD: 72m2 - NHỈNH 3 TỶ	2.87					"NHÀ ĐẸP BÌNH TÂN – GIÁP QUẬN 6 – HẺM XE HƠI THÔNG - 03PN – 4WC - 03 TẦNG – DTSD: 72m2 - NHỈNH 3 TỶ
Mô tả :
- Diện tích: 4×9m + Đường xe hơi vào trong nhà.
- Kết cấu: BTCT 03 tầng cao cấp, nhà mới toanh Sang Xịn
- Công năng: Gia đình ở, kinh doanh.
- Sổ cất Két, công chứng ngay.
Liên hệ Ms Thư 0904552026"	False	False	True	False	Giáp Quận 6, Bình Tân	Giáp Quận 6, Bình Tân	Giáp Quận 6, Bình Tân
#168 || ????Chỉ 1 tỷ 290???? Có Ngay Nhà Cấp 4 Tổng 150.5m2 Cái Răng, Cách QL1A Chỉ 450m.	3.55	151				"#168 || ????Chỉ 1 tỷ 290???? Có Ngay Nhà Cấp 4 Tổng 150.5m2 Cái Răng, Cách QL1A Chỉ 450m.
(Không có hình ảnh, định vị - hỗ trợ xem nhà trực tiếp) 0907895456
————————————
- Đ/c: Cái Nai, Hưng Thạnh, Cái Răng, TPCT
- Diện tích: 10x14.4m = 150.5m2
- Pháp lý: CLN
- Lộ trước nhà 2m. Cách lộ ô tô 200m || View sông mát mẻ.

- Khu vực đông dân cư sinh sống.
- Cách QL1A và cầu Cái Nai chỉ 450m thuận tiện di chuyển đến trung tâm và các khu vực khác.

Quý anh chị quan tâm liên hệ em ngay nha
—————————-
Thái Học - Nhận Ký Gửi Mua Bán Nhà Đất
☎️SDT: 0907895456"	False	False	True	False	Cái Nai, Hưng Thạnh, Cái Răng, TPCT	Cái Nai, Hưng Thạnh, Cái Răng, TPCT	Cái Nai, Hưng Thạnh, Cái Răng, TPCT
Bán nhà Ngọc Thụy Long Biên 32m2 x 5T x MT4.5m 3 TỶ TRUNG T M LONG BIÊN - VÀI PHÚT SANG PHỐ CỔ - NHÀ MỚI LÔ GÓC	1.29	36	5.0	5.0	ngocj thuyj long biên	"????Mô tả : Nhà mình bán nằm trong ngõ 66 Ngọc Thuỵ Hàng xóm với Mipec Long Biên . Khu vực dân trí cao an ninh tốt, tiện ích đầy đủ, 5 phút sang phố cổ. Ngõ bên hông nhà thông sang ngõ 30 Ngọc Thuỵ
????Thiết kế : Nhà thiết kế cầu thang cuối.
-Tầng 1: khách , bếp , wc .Tầng 2,3,4 phòng ngủ +wc. Tầng 5 phòng thờ.sân chơi
????Sổ đỏ phân lô cất két . LH khoát chuyên gia bất động sản thổ cư chung cư khu vực Long Biên 0983488355"	True	False	True	False	Ngọc Thụy, Long Biên	ngocj thuyj long biên	Ngọc Thụy, Long Biên
Bán nhà Ngọc Thụy Long Biên 45m2 x 5T x MT4m 5 Tỷ. MẶT NGÕ Ô TÔ TRÁNH – LÔ GÓC - KINH DOANH – TIỆN ÍCH NGẬP TRÀN.	3000000000	45	5.0	4.0		"+ Vị trí nhà ngay mặt ngõ Ngọc Thụy, đoạn rộng nhất của ngõ, trước nhà ô tô quay đầu thoải mái, ngõ thông sang khu đô thị Khai Sơn.
+ Nhà sát ngay cạnh nhà văn hóa tổ’, cách trường cấp 1,2 khoảng 200m, tiện ích xung quanh chẳng thiếu gì.
+ Vị trí nhà kinh doanh tốt, chủ bán luôn 2 căn cạnh nhau, 2 căn đều lô góc, các phòng đều cực kỳ thoáng sáng. Nếu khách nào có điều kiện mua luôn 2 căn đập thông nhau thì tuyệt đẹp. Khu vực này gần KĐT khai Sơn nên tiềm năng tăng giá rất cao
+ Nhà mới xây được 1 năm, chủ chưa ở vẫn mới tinh, thiết kế khung cột chắc chắn.
- Tầng 1: Phòng khách + Bếp + Wc.Tầng 2,3,4 mỗi tầng 1 ngủ +wc.
- Tầng 5 phòng thờ. sân phơi . sổ đỏ chủ cất két sẵn sàng giao dịch
LH khoát chuyên gia bất động sản khu vực Long Biên 0983488355"	True	True	True	False	Ngọc Thụy, Long Biên	Ngọc Thụy, Long Biên	Ngọc Thụy, Long Biên
NHÀ MỚI ĐẸP – Ô TÔ CÁCH 15M – AN NINH TỐT LÊ TRỌNG TẤN HÀ ĐÔNG 36M 5 TẦNG GIÁ 3.5 TỶ	5000000000	36	5.0	4.0	lê trọng tấn	"NHÀ MỚI ĐẸP – Ô TÔ CÁCH 15M – AN NINH TỐT LÊ TRỌNG TẤN HÀ ĐÔNG 36M 5 TẦNG GIÁ 3.5 TỶ

Mô tả:
- Vị trí nhà cực đẹp, ngõ nông rộng, dân trí tốt, đối diện Park City.
- Thiết kế:
+ T1: PK + bếp
+ T2: 1PN + 1WC siêu rộng
+ T3+4: mỗi tầng 2PN, WC.
+ T5: phòng thờ + sân phơi
- Sổ đỏ vuông đẹp sẵn sàng giao dịch
- ACE QUAN TÂM LIÊN HỆ NGUYÊN ANH 0819508701 ĐỂ BIẾT THÊM THÔNG TIN."	False	True	True	False	Lê Trọng Tấn, Hà Đông	lê trọng tấn	Lê Trọng Tấn, Hà Đông
NHÀ MỚI ĐẸP – Ô TÔ CÁCH 15M – AN NINH TỐT LÊ TRỌNG TẤN HÀ ĐÔNG 36M 5 TẦNG GIÁ 3.5 TỶ	3.5	36	5.0	4.0	lê trọng tấn	"NHÀ MỚI ĐẸP – Ô TÔ CÁCH 15M – AN NINH TỐT LÊ TRỌNG TẤN HÀ ĐÔNG 36M 5 TẦNG GIÁ 3.5 TỶ

Mô tả:
- Vị trí nhà cực đẹp, ngõ nông rộng, dân trí tốt, đối diện Park City.
- Thiết kế:
+ T1: PK + bếp
+ T2: 1PN + 1WC siêu rộng
+ T3+4: mỗi tầng 2PN, WC.
+ T5: phòng thờ + sân phơi
- Sổ đỏ vuông đẹp sẵn sàng giao dịch
- ACE QUAN TÂM LIÊN HỆ NGUYÊN ANH 0819508701 ĐỂ BIẾT THÊM THÔNG TIN."	False	False	True	False	Lê Trọng Tấn, Hà Đông	lê trọng tấn	Lê Trọng Tấn, Hà Đông
Bán nhà đẹp Tân PHú- 5 tầng 4x20m-gần Mặt tiền Vườn Lài-giá rẻ.	3.5	80	5.0	6.0	Thành phố Hồ Chí Minh	"TÂN PHÚ, GIÁP TÂN BÌNH- KHU VIP VƯỜN LÀI– HXH THÔNG- NHÀ ĐẸP RỘNG- GI.Á RẺ.
Nhà mới 5 tầng, 5 PN, 6WC . Nội thất cao cấp, sân vườn rộng, khuôn viẻn mát mẻ.
Chỉ 8 t.ỷ 28 Tl manh, pháp lý sạch.
☎️zalo. 0938059388.Nhà Phố SG.
Nhà mới tinh, vị trí đẹp, kế mặt tiền, khu dân trí.
Hẻm thông ra Vườn lài, Lũy Bán Bích, Thoại Ngọc Hầu, Âu Cơ."	False	False	True	False	Lũy Bán Bích, Thoại Ngọc Hầu, Âu Cơ, Quận Tân Phú	Thành phố Hồ Chí Minh	Lũy Bán Bích, Thoại Ngọc Hầu, Âu Cơ, Quận Tân Phú
