Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	ExtractedTitle	Address1	Address2
Gò Vấp, Quang Trung Phường 8, 79m2, 4x20, vuông A4, 3 tầng chỉ 11.9 tỷ	11.9	79.0	3.0	3.0		"MS 9523
* Vị trí: hẻm 1 sẹc đường Quang Trung Phường 8 Gò Vấp.
* Diện tích 79m2, 4m x 20m, 3 tầng BTCT, gồm 3 phòng ngủ, 3 WC, sân thượng.
* Nhà mới, đẹp, đầy đủ công năng sử dụng, ở ngay.
* Đường trước nhà 4m, an ninh, yên tĩnh. Công viên gần nhà.
* Sổ vuông vức, hoàn công đủ."	False	False	True	đường Quang Trung, Phường 8, Quận Gò Vấp	đường Quang Trung, Phường 8, Quận Gò Vấp	đường Quang Trung, Phường 8, Quận Gò Vấp
Bán nhà HXH đường GÒ XOÀI, DT: 4x20m, 1 lửng, giá: 4.65 tỷ TL Liên Hệ Ngay	11.9	80.0				"- Bán nhà: Hẻm xe hơi đường Gò Xoài, DT: 4x20m.
- Tiện ích: Hẻm 6m xe hơi vô đến nhà, cách mặt tiên đường chỉ vài chục m, cách ngã 3 Gò Xoài - Lô Tư chưa đến 100m. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, trường học, cửa hàng công nghệ, dịch vụ ăn uống,v.v...
- Kết cấu: 1 trệt, 1 lửng.
- Vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.
- Giá: 4.65 tỷ TL.

Liên hệ: 0707725457 Phú Cường.
Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.
Cam kết những thông tin trên đúng 100% sự thật.
Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.
Sàn giao dịch BĐS TanPhuLand.
Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM."	False	False	True	đường Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	đường Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	đường Gò Xoài, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh
Bán nhà HXH 8M đường LÊ VĂN QUỚI, DT: 4x17m, 3 lầu, giá: 6.8 tỷ TL Liên Hệ Ngay	4.65	68.0				"- Bán nhà: Hẻm xe hơi đường Lê Văn Quới, DT: 4x17m.
- Tiện ích: Hẻm nhựa 8m xe hơi vô đến nhà, cách mặt tiền đường chỉ 100m. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, cửa hàng công nghệ, dịch vụ ăn uống,v.v...
- Kết cấu: 1 trệt, 2 lầu, sân thượng, 4 phòng ngủ, 4 toilet.
- Vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.
- Giá: 6.8 tỷ TL.

Liên hệ: 0707725457 Phú Cường.
Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.
Cam kết những thông tin trên đúng 100% sự thật.
Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.
Sàn giao dịch BĐS TanPhuLand.
Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM."	False	False	True	đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh	đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh
Tân Phú 5 tầng, nhà mới đẹp 45m2 ngang gần 6m, giá nhỉnh 6 tỷ.	6.8					"Tân Phú 5 tầng, nhà mới đẹp 45m2 ngang gần 6m, giá nhỉnh 6 tỷ.
* Nhà 1 trệt, 1 lửng, 2 lầu, sân thượng, 5 phòng ngủ.
* Hẻm xe hơi Kia đỗ cửa, an ninh, yên tĩnh.
* Sổ hoàn công đủ, nở hậu tài lộc.
Giá 6.1 tỷ thương lượng.
Liên hệ Oanh để xem nhà chính chủ miễn phí."	False	False	True	Tân Phú	Tân Phú	Tân Phú
(Ảnh Thật) Hơn 4 Tỷ - 61 Phan Kế Bính - Ba Đình - 30M ra OTO - 35M2 x 6 Tầng	6.1	35.0	6.0	4.0	61 Phan kế bính	"Ngõ thông - Nhà đẹp thoáng - Nở Hậu - Tặng Full nội thất hiện đại

+ Vị trí siêu VIP quận Ba Đình, 30M ra phố. Sau quy hoạch mở đường nhà sẽ ra đường lớn
+ Chủ tặng lại toàn bộ nội thất trị giá vài trăm triệu.
+ Nhà xây chắc chắn, 6 tầng lừng lững, thiế kế hiện đại đầy đủ công năng.
- Tầng 1: Khách, vs
- Tầng 2,3,4 Thiết kế mỗi tầng 1 phòng ngủ rộng,vs.
- Tầng 5: Phòng thờ, bên cạnh có thể thiết kế phòng ngủ.
- Tầng 6: Ban công, khu trồng rau chăn nuôi gia cầm.

Sổ nở hậu, sẵn sàng giao dịch"	False	False	True	Phan Kế Bính, Quận Ba Đình	61 Phan kế bính	Phan Kế Bính, Quận Ba Đình
Nhà phố liền kề có 1-0-2 ngay trung tâm Tân Phước Khánh, đã hoàn thiện 100%toàn khu,CK 2%	4.5	62.0	2.0	3.0		"Nhà phố liền kề có 1-0-2 ngay trung tâm Tân Phước Khánh, đã hoàn thiện 100%toàn khu,CK 2%
Tìm đâu ra khu nhà phố liền kề đẹp như vậy ở Tân Phước Khánh nữa.
Vị tri thuận lợi cách mặt tiền ĐT745 chỉ 100m.
Diện tích: 61 - 70m².
Có 2 hình thức bàn giao: Giao thô và giao hoàn thiện cơ bản.
Đã có hơn 50% hộ dân về ở
Kết cấu: 1 trệt 1 lầu, 2 phòng ngủ 3 toilet.
Giá chỉ từ 2 tỷ 5 / căn.
Chiếc khấu 2% cho khách hàng khi vay ngân hàng
Đặc biệt chiếc khấu 4% cho khách hàng thanh toán nhanh
Bán kính 1.5km có đầy đủ chợ, trường học các cấp, bệnh viện, khu vui chơi mua sắm, khu du lịch sinh thái.
Di chuyển đến Thuận An chỉ 5p, Tp Dĩ An chỉ 15p.
Ngân hàng hỗ trợ đến 70% giá trị.
Sổ hồng riêng đã hoàn công.
Liên hệ: 0947464497 di xem nhà thực tế"	False	False	True	Tân Phước Khánh, ĐT745	Tân Phước Khánh, ĐT745	Tân Phước Khánh, ĐT745
Bán nhà 1T1L Thổ cư 54m2 (P.Quyết Thắng) chỉ 1,350 tỉ	2.5	54.0	2.0	2.0		"Bán nhà 1T1L p.Quyết Thắng lô góc 3 mặt tiền, gần nhà thờ Biên Hòa
- Diện tích: 54m2 (3.5 x 16). SHR thổ cư
- Vị trí: gần ngay nhà thờ Biên Hòa, trường tiểu học Nguyễn Du, cách đường Cách Mạng Tháng 8 khoảng 100m
- Nhà 1 trệt 1 lầu ở góc 3 mặt tiền hẻm nên vô cùng thông thoáng, gồm 2 phòng ngủ, 2WC, phòng khách, bếp, sân phơi"	False	False	True	Quốc Quyết Thắng, gần nhà thờ Biên Hòa	Quốc Quyết Thắng, gần nhà thờ Biên Hòa	Quốc Quyết Thắng, gần nhà thờ Biên Hòa
Bán nhà Khu QH nhà ở CTy Phú Nhuận Thới An Q12 (dd UBND Q12)	5	100.0	4.0	4.0		"Do nhu cầu gia đình chuyển nơi khác, cần bán nhà đất ở 100m2 (5x20m), nhà xây Trệt + 2 Lầu + ST (trước sau), hướng Đông, Gồm : Pk + Bếp+ 04 PN + 04 WC
+ Tủ âm tường toàn bộ.
+ Sân trước 3m, sân sau 2m
+ Sổ hồng năm 2013 (Xd 2012) nhà còn mới đẹp
+ Đường trước nhà LG 12m ( Vỉa hè mỗi bên là 3m)
+ Phía trước đất trống (QH trường Mầm non + Công viên)
+ Cách Lê Thi Riêng và UBND Q12 150-200m, Kp1, Phường Thới An, Quận 12
+ Nhà xây lệch tầng hiện đại., bếp lầu 1 có ban công sau thoáng mát, Đồng thời nhà tiếp xúc là đất sân nhà và đường phía sau nên luôn thoáng (luôn trống dù xây kín).
+ Lắp trụ chống sét ST.
+ Gần LTR (xe bus) va UBND Quận, Xa lộ Đại Hàn (xe đi về Miền Tây và Miên Đông, Tây nguyên,..rất thuận lợi).
Giá bán: 9,5 tỷ. Liên hệ Mr Phú: 091 3030.799 (chủ nhà)"	False	True	True	Số 100, Khu phố 1, Phường Thới An, Quận 12	Số 100, Khu phố 1, Phường Thới An, Quận 12	Số 100, Khu phố 1, Phường Thới An, Quận 12
Bán nhà 1T1L MT đường Châu Văn Lồng 120m2 chỉ 4,890 tỉ	9.4	120.0	3.0	2.0		"???????? Mặt tiền Châu Văn Lồng kp bình dương (P. Long bình Tân ) đối diện khu dân cư an hưng phát
+ Mặt tiền kinh doanh sầm uất nhất long bình tân,phù hợp kinh doanh buôn bán mọi nghành nghề
+ Diện tích : 6x20m
+ Nhà 1trệt 1lầu xây dựng kiên cố chắc chắn gồm: 1 phòng khách,3 phòng ngủ,2 tolet,nhà bếp
+ Sổ hồng riêng thổ cư"	False	False	True	Châu Văn Lồng, Phường Long Bình, Bình Dương	Châu Văn Lồng, Phường Long Bình, Bình Dương	Châu Văn Lồng, Phường Long Bình, Bình Dương
Bán nhà MTĐ ngay chợ TM Linh Xuân, 104 m2, trệt, lầu, 3PN chỉ nhỉnh 4 tỷ	4.89	104.0				"Bán nhà MTĐ ngay chợ TM Linh Xuân, 104 m2, trệt, lầu, 3PN chỉ nhỉnh 4 tỷ
+ Vị trí : Nằm mặt tiền đường số 11 thông thoáng, kế chợ Linh Xuân, gần khu Trung tâm hành chính Dĩ An, tiện ích không thiếu gì.
+ Kết cấu 1 trệt 1 lửng BTCT với 3PN 2WC, nhà xây chắc chắn, còn mới đẹp, thiết kế rất rộng và thoáng.
+ Sổ hồng vuông vức,công nhận đủ, không quy hoạch lộ giới.- Giá chỉ 4.2 tỷ ( 5*20m)
Gọi ngay Mr Ảnh 0905238089 Nhà ngon, giá rẻ Thủ Đức - TPHCM"	False	True	True	đường số 11, Linh Xuân, Thủ Đức	đường số 11, Linh Xuân, Thủ Đức	đường số 11, Linh Xuân, Thủ Đức
