Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	ExtractedTitle	Address1	Address2
CHÍNH CHỦ BÁN NHÀ NHỎ XINH MỚI XÂY GẦN CHỢ BÀ CHIỂU - P.24 - BÌNH THẠNH	20	35.0	3.0	3.0	Vị trí gần chợ Bà Chiểu	"???? CHÍNH CHỦ BÁN NHÀ NHỎ XINH MỚI XÂY GẦN CHỢ BÀ CHIỂU - P.24 - BÌNH THẠNH

???? Diện tích thực tế : 35m2 (3.5 x 10m)
???? Kết cấu: 1 trệt, 2 lầu, BTCT chắc chắn
???? Gồm 1 phòng khách, bếp, 2 phòng ngủ, 3 nhà vệ sinh
???? Hẻm sạch sẽ văn minh, sổ hồng riêng vuông vức
????????????Vị trí gần chợ Bà Chiểu, đường Nguyễn Thiện Thuật, giáp Lê Quang Định, gần Hàng Xanh, thuận tiện di chuyển.
???? Hoàn công đầy đủ, công chứng ngay
Cam kết thông tin thật 100%
???????????? Giá: 3 tỷ 880
Liên hệ 0373.506.056 (Ms Vi) xem nhà 24/7"	False	True	True	Lakeside, Nguyễn Thiện Thuật, Quận Bình Thạnh	Vị trí gần chợ Bà Chiểu	Lakeside, Nguyễn Thiện Thuật, Quận Bình Thạnh
Bán nhà kiệt K222 Trần Cao Vân	3.88	45.0	1.0	1.0	k222 TRAN CAO VAN	"Vị trí TTT/ phố, đông dân cư, gân chợ trường học thuận tiện đi lại
Hướng : Đông Bắc
Kết cấu nhà mê lửng đúc, 1 phòng khách, 1 phòng ngủ, 1 bếp, khu sinh hoạt chung.
Giá bán: 1ti850 có thương lượng (chính chủ)"	False	False	True	K222 Trần Cao Vân	k222 TRAN CAO VAN	K222 Trần Cao Vân
Bán nhà Hương Lộ 2, Bình Tân HXH, 38M2, 3 Tầng BTCT, 2PN, chỉ 2,7 tỷ TL	1.85	38.0	2.0	2.0	689/ hương lộ 2, bình trị đông, bình tân	"+ Diện tích 3 x 12,5m. ô tô đỗ cửa.

+ Kết cấu nhà 3 tầng, 1 trệt, 1 lầu, 1 lững. 2 phòng ngủ, 2WC.

+ Vị trí gần mã lò, gần bệnh viện bình tân, và trường học các cấp,... xung quanh đầy đủ tiện ích.

+ Hẻm thông qua đất mới - bình trị đông và chiến lược, tiếp giáp với ngã tư bốn xã thuận tiện di chuyển khắp nẻo.

+ Sổ vuông vắn hoàn công đầy đủ.
====================================================================
== LH Nguyễn Tiền xem nhà trực tiếp, thương lượng giá cả làm việc chính chủ.
Miễn môi giới!"	False	False	True	Hương Lộ 2, Bình Tân	689/ hương lộ 2, bình trị đông, bình tân	Hương Lộ 2, Bình Tân
Đường nhựa 8m thông. Lê Văn Quới. 64m2. 2 tầng. Cho thuê 8tr/th. Nhỉnh 3 Tỷ.	2.7	64.0				"+ Nhà 2 tầng cũ tiện xây mới: 64m2(4x16); khu vực dân trí; sổ vuông vức A4.
+ Đường bê tông nhựa 8M thông xe tải tránh nhau; tiện ở; cho thuê; kinh doanh. Hiện cho thuê 8tr/tháng.
+ Vị trí Lê Văn Quới gần ngã tư Bốn Xã; Giáp Tân Phú. Vào trung tâm Quận 10 thuận tiện.
+ Chủ gấp bán. Giá đã giảm 600 triệu."	False	True	True	đường Lê Văn Quới	đường Lê Văn Quới	đường Lê Văn Quới
NHÀ ĐẸP QUẬN 7 - CĂN GÓC 2 MẶT SIÊU ĐẸP - NHỈNH 3 TỶ	3.65	40.0			Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, TP. HCM	"✅Diện tích: 4x10m. hẻm trước nhà xe ba gác vào tới nơi
✅Kết cấu: 2 lầu , 2PN, 2WC
✅Tiện ích: Gần chợ, gần trường họ, gần siêu thị,...
Pháp lý: Sổ hồng riêng, mua bán sang tên công chứng ngay trong ngày"	False	False	True		Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, TP. HCM	
Gò Vấp Lê Văn Thọ P11, HXH thông, vị trí kd, 68m2, 2 tầng chỉ 7.5 tỷ	3.85	68.0	2.0	2.0	Lê Văn Thọ	"MS 14123
* Vị trí: Lê Văn Thọ Phường 11 Gò Vấp. Gần chợ, siêu thị, trường học, công viên Làng Hoa v.v., dịch vụ tiện ích không thiếu thứ gì. Khu vực dân cư đông đúc, thuận tiện cho việc vừa ở vừa kết hợp kinh doanh, cho thuê.
* Đường trước nhà 6m chưa tính vỉa hè hai bên, thông nhiều ngả.
* Diện tích 68m2, 4.5m x 15m, 2 tầng BTCT.
* Sổ hồng hoàn công đủ."	False	False	True	đường Lê Văn Thọ, Phường 11, Quận Gò Vấp	Lê Văn Thọ	đường Lê Văn Thọ, Phường 11, Quận Gò Vấp
Nhà mới Đường 26 tháng 3. Bình Tân. 56m2. 4x 14m. 2 tầng BTCT. 70tr/m2.	7.5	56.0				"+ Nhà mới 2 tầng vào ở ngay, diện tích 4 x 14m, sổ vuông A4. Kết cấu 2 PN, ban công thoáng mát.
+ Hẻm 4m thông thoáng, 20m ra hẻm xe tải tránh, sát chợ, 5 phút ra đến AEON Tân Phú, thuận tiện đi chuyển vào các quận Trung tâm.
+ Pháp lý chuẩn, sổ đẹp công chứng nhanh."	False	False	True	đường 26 tháng 3, Phường Bình Tân	đường 26 tháng 3, Phường Bình Tân	đường 26 tháng 3, Phường Bình Tân
Cần bán nhà Kiến Hưng Hà Đông 4,5 tầng - ô tô gửi - giảm 300tr giá rẻ	4.1	35.0			Quận Hà Đông, Hà Nội	"Cần bán nhà Kiến Hưng Hà Đông 4,5 tầng - ô tô gửi - giảm 300tr giá rẻ

- Diện tích 35m2, vuông vắn.
- Mới đẹp long lanh, thiết kế sang trọng hiện đại, xây dựng kiên cố chắc chắn.
- Khu vực dân cư đông, rất nhiều tiện ích. Gần chợ, trường học, giao thông thuận tiện về các hướng vành đai 3 trên cao, quốc lộ 6.
- Sổ đỏ công chứng ngay.
- Hỗ trợ vay vốn ngân hàng.

☎️☎️Liên hệ em Dương để xem nhà: 0914450004"	False	False	True	Kiến Hưng, Hà Đông	Quận Hà Đông, Hà Nội	Kiến Hưng, Hà Đông
NHÀ MỚI SÀI ĐỒNG, LONG BIÊN, 70M X 4 TẦNG, MT 5.6M, NGÕ Ô TÔ, 5 TỶ NHỈNH	3.2		4.0	4.0	Long Biên	"- Bán nhà trên phường Sài Đồng, Long Biên. Diện tích 70m, xây dựng 4 tầng mới, mặt tiền nhà rộng rần 6m cực đẹp đã hoàn thiện xong.
- Vị trí nhà nằm trên trục giao thông kết nối giữa Gia Lâm với Long Biên, khu vực đang được đầu tư hạ tầng đẹp của phường Sài Đồng, thừa hưởng hạ tầng kết nối của Vinhomes Riverside với Gia Lâm và các trục giao thông liên tỉnh như đường 5B, đường Nguyễn Văn Linh (đường 5 cũ) kế cận Thạch Bàn.
- Nhà mới đẹp diện tích cùng mặt tiền rộng, đủ công năng với 4 phòng ngủ và các phòng chức năng, tầng 1 có sân để xe, ngõ vào nhà là rộng ô tô đi thoải mái, nhà cách đường chính vài bước chân (10m).
- Nhà hai mặt ngõ ô tô đi lại thuận tiện, ô tô dừng đỗ ngày đêm cạnh nhà.
- Hiện tại nhà đã hoàn thiện xong để đón chủ mới.
- Sổ đỏ sẵn sàng sang tên.
LH: 0904.882258"	False	False	True	Phường Sài Đồng, Quận Long Biên	Long Biên	Phường Sài Đồng, Quận Long Biên
Bán gấp nhà Phố Trường Chinh Thanh Xuân 34m2x4 hơn 3 Tỷ	5.2	34.0			Hà Nội	"+Nhà nằm tại trung tâm Ngã Tư Sở nút giao quan trong giữa Trường Chinh,Láng,Nguyễn Trãi,Tây Sơn,cách Tôn Thất Tùng 5p đi xe.
+Buổi sáng mở mắt, đi bộ 3 bước chân là một rừng quán ăn với đủ các món từ nước đến khô.Thêm vào đó là những tạp hóa,làm nail,sân bóng Thủy Lợi,...

+Nhà được thiết kế cho những hộ gia đình vừa và nhỏ,Có không gian sống yên tĩnh thích hợp cho những người lớn tuổi,
+Nhà có 4 tầng với 4 phòng ngủ 1 khách và 1 sân phơi , tất cả đều rất mới ,( nhà tone trắng)
thiết kế trẻ chung cặp đôi nào mà mới cưới thì tuyệt vời nhất full nội thất đến sẵn ở.
+Hàng xóm thân thiện ,sổ đỏ trao tay ,

Liên hệ/zalo : Văn anh 0373022620 , có thắc mắc đừng ngại nhấc máy alo em tư vấn free"	False	False	True	Phố Trường Chinh, Thanh Xuân	Hà Nội	Phố Trường Chinh, Thanh Xuân
