Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Vấn đề pháp lý, sổ đỏ	ExtractedTitle	Address1	Address2
2.1 Tỷ Diện Tích 68M2 Nhà Kiệt Ngô Quyền Sơn Trà Đà Nẵng	7.3	68.0			kiệt 187 Ngô Quyền	"2.1 Tỷ Diện Tích 68M2 Nhà Kiệt Ngô Quyền Sơn Trà Đà Nẵng
Nhà cấp 4 chủ xây kiên cố kiệt ô tô ở sướng.
Vị trí gần trung tâm quận Sơn Trà, đi bộ vài bước ra biển.
Khu dân cư đông đúc hàng xóm thân thiện, giao thông thuận tiện.
Các tiện ích xung quanh chợ, trường học...v ...v.
Diện tích 68 m2 nhà c4 có 3 phòng ngủ công năng đủ.
Pháp lý sôt hồng nở hậu tài lộc.
Do làm ăn phát đạt muốn ra đường lớn cần bán gấp.
Giá bán chỉ 2.1 tỷ có thương lượng.
Gọi ngay Minh Nhà Phố xem nhà LVCC.
Cam kết thông tin chuẩn 100%."	False	False	True	False	Ngô Quyền, Sơn Trà, Đà Nẵng	kiệt 187 Ngô Quyền	Ngô Quyền, Sơn Trà, Đà Nẵng
Nhà Phố Mặt Tiền Trục Chính Hàm Liêm	2.1	145.0			Hàm Liêm Hàm Thuận Bắc Bình Thuận	"???? Nhà Phố Mặt Tiền Trục Chính Hàm Liêm ????
???? Ữu Đãi khủng dành cho khách hàng
???? Chính sách thanh toán linh hoạt : hỗ trợ trả chậm, chuyển nhượng nhanh
*************
???? Vị trí : Thuộc thôn 5 xã Hàm Liêm, huyện Hàm Thuận Bắc, tỉnh Bình Thuận
???? Diện tích : hơn 100m2
???? Thiết kế nhà : 1PK, 1PB, 2PN, 2WC, ( có sân trước sân sau )
???? Pháp lý : sổ hồng đầy đủ chuyển nhượng nhanh trong ngày
**************
???? Tiện ích :
???? Ngay khu dân cư đông đúc, an ninh, gần trường, chợ, cây xăng,.....
???? Cách quốc lộ 28 chỉ khoản 5km, cũng như về trung tâm Phan Thiết chỉ khoản 6km.
???? Giá ưu đãi cho khách hàng chỉ từ 1tỷxx - 2tỷxx, chính sách thanh toán linh hoạt, hỗ trợ trả góp trong vòng 2 năm 0% lãi suất khi chỉ cần khách hàng thanh toán trước 50%.
************
???? Lh trực tiếp : 0886782482 hỗ trợ xem nhà trực tiếp"	False	False	True	False	ĐT 5, Xã Hàm Liêm, Huyện Hàm Thuận Bắc, Tỉnh Bình Thuận	Hàm Liêm Hàm Thuận Bắc Bình Thuận	ĐT 5, Xã Hàm Liêm, Huyện Hàm Thuận Bắc, Tỉnh Bình Thuận
Vị trí đẹp kinh doanh tốt Phường 12 Gò Vấp 130m2, 5 tầng, chỉ 16.5 tỷ	12.9	130.0	5.0	6.0	Phan Huy Ích	"MS 15823
• Vị trí đẹp, kinh doanh tốt, gần mặt tiền Phan Huy Ích Phường 12 Gò Vấp, hẻm xe hơi tránh, lề đường rộng.
* Diện tích 130m2, 5 tầng BTCT gồm Trệt, lửng, 3 lầu với 5 phòng ngủ, 6WC, garage xe hơi, sân sau. Nhà xây dựng kiên cố, thoáng mát, đẹp.
* Thuận tiện vào Trung tâm Thành phố, ra các Quận, Huyện ngoại thành.
* Sổ hồng công nhận đủ, hoàn công đủ, công chứng ngay."	False	False	True	False	Phan Huy Ích, Phường 12, Gò Vấp	Phan Huy Ích	Phan Huy Ích, Phường 12, Gò Vấp
BÁN NHÀ HXH BÌNH TÂN 3 TẦNG, 5X18M GIÁ 5.9 TỶ.	16.5	90.0	7.0	3.0	bình tân	"BÁN NHÀ HXH BÌNH TÂN 3 TẦNG, 5X18M GIÁ 5.9 TỶ.
Hẻm ô tô thẳng 1 trục, vài bước chân ra mặt tiền.
Nhà xây kiên cố 1 trệt 2 lầu, ban công thoáng mát. 7 PN rộng rãi (tầng trệt có phòng ngủ), 3 WC tiện ở cũng như kinh doanh.
Vị trí trung tâm đi đâu cũng tiên. Sát vách Tân Phú, Quận 6.
Gần ngã tư Bốn Xã, siêu thị Phú Lâm, Đầm Sen....
Sổ hồng riêng, nở hậu tào lộc, pháp lý chuẩn, công chứng ngay.
Liên hệ: Mr.Lâm"	False	False	True	False	Hẻm ô tô,avenous 4, Quận 6, Quận Tân Phú	bình tân	Hẻm ô tô,avenous 4, Quận 6, Quận Tân Phú
DIỆN TÍCH KHỦNG 68M2 ĐẤT - BTCT 3 TẦNG - TRƯỚC NHÀ 10M	5.9	62.0	3.0	3.0	HCM	"""Mô tả:
- vị trí đẹp, tương lai ra mặt tiền. Trước nhà 10m sinh hoạt thỏai mái, hàng xóm
thân thiện an ninh yên tĩnh. Phù hợp để ở cực kỳ.
- Hẻm thông tứ hướng ra Phạm Văn Đồng, Trương Đăng Quế, Hoàng Hoa Thám....
- Kết cấu BTCT 3 Tầng gồm: Trệt Lầu Sân Thượng. Hiện tổng 3 Phòng ngủ,
3WC. Sân thượng có thể làm thêm 1 phòng ngủ lớn nữa.
- Sổ nở hậu, pháp lý đầy đủ. Sang tên công chứng ngay. Hoàn công đủ."""	False	False	True	False	(vị trí gần Phạm Văn Đồng, Trương Đăng Quế, Hoàng Hoa Thám)	HCM	(vị trí gần Phạm Văn Đồng, Trương Đăng Quế, Hoàng Hoa Thám)
"""Bán nhà riêng tại Tạ Quang Bửu - Bạch Mai 39M, Đường Thông Hè Thoáng - Dân Trí Cao 4.8 Tỷ"	6	39.0				"""Bán nhà riêng tại Tạ Quang Bửu - Bạch Mai 39M, Đường Thông Hè Thoáng - Dân Trí Cao 4.8 Tỷ
Vị trí đắc địa trung tâm quận Hai Ba Trưng, Cách đường lớn 20M, khu trung tâm tiện ích xung quanh đầy đủ. Xung quanh toàn các trường ĐH nổi tiếng, chợ ngay gần nhà.
+ Nhà XD kiến cố, thiết kế hợp lý.
Tầng 1: Khách + Bếp + WC
Tầng 2: Phòng ngủ + WC
Tầng 3: Phòng ngủ + WC
Tầng 4: Phòng thờ + Sân Phơi.
+Khu dân chí cao, xung quanh toàn giảng viên, bác sĩ. An ninh cực tốt.
+ Nhà Vuông vắn - Sổ đỏ pháp lý rõ ràng. Sẵn sàng giao dịch.
Liên hệ em 0886791954"	False	False	True	False	Tạ Quang Bửu - Bạch Mai, Quận Hai Bà Trưng	Tạ Quang Bửu - Bạch Mai, Quận Hai Bà Trưng	Tạ Quang Bửu - Bạch Mai, Quận Hai Bà Trưng
Bán nhà 5 tầng lô góc siêu đẹp 60m2 hướng ĐTT Thượng Lý, Hồng Bàng, Hải Phòng	11.8	60.0	5.0	4.0	Hùng Duệ Vương, Thượng Lý, Hồng Bàng, Hải Phòng	"???? Bán căn 61m2 dân xây 5 tầng
Lô góc vô cùng chắc chắn và siêu đẹp ngay Thượng Lý, Hồng Bàng, Hải Phòng.
???? LH Mrs Tâm: 0796-336-866
61m2- 5 tầng- 6,2 tỷ

???? Thông số:
- Diện tích: 61,05m2
- Ngang: 5,55m
- Hướng: Bắc/ Tây
- Đường: 5m

???? Nhà lô góc xây 5 tầng chủ xây cực kỳ tâm huyết và chắc chắn. Với cấu trúc: Phòng khách, bếp, 5 phòng ngủ, phòng thờ, sân phơi….

???? Đường thông rộng 5m ô tô đỗ cửa

???? Gần trường, chợ, đầy đủ mọi tiện ích

???? Khách hàng mua về có thể ở kết hợp kinh doanh làm nghề tóc, móng , spa đều được hợp lý.

???? Pháp lý rõ ràng, bìa đỏ chính chủ

???? Giá cực hấp dẫn: 6,2 tỷ( TT)

???? Nhanh tay LH Em Tâm: 0796-336-866 Công ty Bán Nhà Hải Phòng để sở hữu ngôi nhà siêu đẹp và cực kỳ giá trị trên."	True	False	True	False	Thượng Lý, Hồng Bàng, Hải Phòng	Hùng Duệ Vương, Thượng Lý, Hồng Bàng, Hải Phòng	Thượng Lý, Hồng Bàng, Hải Phòng
Lâm Quang	6.2	64.0	1.0	1.0	Quận Tân Phú, TP. HCM	"""Mô tả:
+ Hẻm càng vào càng to ạ. Trước nhà được 4m ace nhé.
+ Kết cấu: Nhà chủ tự xây thiết kế đẹp gồm 1 phòng khách, 1 phòng ngủ, 1
bếp và 1 vệ sinh.
+ Chủ tặng nội thất cơ bản.
+ Vị trí: Vài bước chân ra Lũy Bán Bích thuận tiện di chuyển. """	False	False	True	False	Lũy Bán Bích	Quận Tân Phú, TP. HCM	Lũy Bán Bích
"""HẺM Ô TÔ LÝ THUYẾT - 1 CĂN RA MẶT TIỀN - DTSD 110M2 - 4 TẦNG - 2 PHÒNG NGỦ - 5.75 TỶ."""	5.8	112.0	4.0	3.0	HCM	"""Mô tả:
- Quy mô nhà có 4 tầng, trệt, 2 lầu, sân thượng, mái.
- Nhà xây dựng mới thiết kế đẹp theo phong cách hiện đại,
zin từng viên gạch đến nước sơn đẹp lung linh.
- Nhà có phòng khách, 2 phòng ngủ, bếp, 3wc.
- Hẻm ô tô Kia Morning. Cách 1 căn ra mặt tiền lớn Hoàng Văn Thụ.
- Nhà phù hợp cho vợ chồng trẻ muốn ở khu vực trung tâm Phú Nhuận.
- Tiện ích xung quanh đầy đủ, Bệnh viện, Trường học, Siêu thị, UBND, Chợ.
- Pháp lý chuẩn, sổ hồng chính chủ, hoàn công đầy đủ"""	False	False	True	False	đường Hoàng Văn Thụ, Phú Nhuận	HCM	đường Hoàng Văn Thụ, Phú Nhuận
Cần bán gấp nhà mặt tiền đường 109, 1 trệt 4 lầu 67m2, sổ hồng hoàn công, giá chỉ 6 tỷ 5 bớt lộc	5.75	67.0	4.0	5.0	Đường 109, Phường Phước Long B, Q9	"Bán Gấp Nhà Mặt Tiền Đường 109 PLB Q9 .TP. Thủ Đức
Buôn Bán kinh doanh tốt.
8,9 tỷ giảm 2.4 tỷ ( còn 6,5 tỷ )
DT đất 67 ( CN 47,2m ) san 177,2 m
Kết cấu 1tret 4 lau , sân thượng
SHR, hoàn công đủ
Gia 6,5 tỷ bớt lộc
Lh: 0388668882 gặp Tâm ( zalo )"	False	False	True	False	đường 109, Phường Linh Bắc, Quận 9, Thành phố Thủ Đức	Đường 109, Phường Phước Long B, Q9	đường 109, Phường Linh Bắc, Quận 9, Thành phố Thủ Đức
