Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	ExtractedTitle	Address1	Address2
CỰC HIẾM GIÁ TỐT_Oto đỗ cửa, KD tốt, nhà mới 36m2x4T phố Tam Khương, gần ĐH Y chỉ 6,4 tỷ	2.6	36.0				"CỰC HIẾM GIÁ TỐT_Oto đỗ cửa, KD tốt, nhà mới 36m2x4T phố Tam Khương, gần ĐH Y chỉ 6,4 tỷ
Gia đình cần bán nhà vị trí cực đẹp: cách mặt phố Tam Khương oto tránh chỉ 10m, oto đỗ cửa nhà thoải mái. Nhà nằm gần đại học Y, Học viện Ngân hàng,…Xung quanh ngập tràn tiện ích và dịch vụ
- Nhà mới, đẹp. Diện tích 36m2 với thiết kế 4 tầng rộng rãi:
+ Tầng 1: PK, bếp, wc.
+ Tầng 2: 1PN, wc siêu rộng.
+ Tầng 3: 1PN, 1P đọc sách, wc.
+ Tầng 4: Sân phơi, phòng thờ.
- Phù hợp vừa ở, vừa kinh doanh online hoặc cho thuê văn phòng
- Sổ đỏ chính chủ sẵn sàng giao dịch
=== Giá chỉ 6,4 tỷ
==== Liên hệ xem nhà: Thu Hương 098.7274.966 (Miễn trung gian)"	True	True	True	phố Tam Khương	phố Tam Khương	phố Tam Khương
Bán nhà mới 1 lầu gần mặt tiền HXH đường Âu Dương Lân P.3 Quận 8	6.4	26.0				"Bán nhà mới 1 lầu gần MT hẻm xe hơi đường Âu Dương Lân P.3 Quận 8
+ Diện tích: 3.2 x 8m – CN: 26m2
+ Kết cấu: Nhà mới, xây dựng đẹp, gồm 1 trệt + lầu, 2PN, 2WC, đầy đủ tiện nghi, dọn vào ở liền.
+ Vị trí: Hẻm trước nhà gần 3m, cách hẻm xe hơi 1 căn, 3 phút qua cầu Chữ Y, chợ Rạch Ông, xe cộ tiện lưu thông qua các Quận lân cận.
+ Tiện ích: Dân cư an ninh, yên tĩnh, xung quanh nơi ở gần chợ, trường học, bệnh viện, quán ăn, các cửa hàng tiện lợi,… tập trung phát triển đông đúc và nhộn nhịp.
+ Hướng Tây Nam
+ Sổ hồng hoàn công
+ Giá: 3.6 Tỷ (T/L)
Liên hệ: 0933 862 860 Ms Sương
Tư vấn pháp lý & xem nhà miễn phí
Hỗ trợ vay ngân hàng 80% giá trị nhà
Nhận ký gửi cho thuê nhà đất các Quận TP.HCM"	True	True	True	đường Âu Dương Lân, Phường 3, Quận 8	đường Âu Dương Lân, Phường 3, Quận 8	đường Âu Dương Lân, Phường 3, Quận 8
Nhà 2 Mặt Tiền Kinh Doanh Mới, Phú Nhuận, Nguyễn Trường Tộ, Ngang 4 x 10, Hẽm 4m, 4 Tầng, 8.x Ty	3.6	41.0			Nguyễn Trường Tộ, Phường 17, Quận Bình Thạnh	"Nhà 2 Mặt Tiền Kinh Doanh Mới, Phú Nhuận, Nguyễn Trường Tộ, Ngang 4 x 10, Hẽm 4m, 4 Tầng, 8.x Ty
Nguyễn Trường Tộ, Cao Thắng, Ngô Thời Nhiệm, Đào Duy Từ.
Nhà 1 trệt, 3 Tầng BTCT, 4 Phòng.
Sổ Hồng Chính Chủ, Hoàn Công Rõ Ràng, Công Chứng Nhanh
Liên hệ em Nguyên Nhà Đất xem nhà ngay xem nhà miễn phí
Gọi ngay: 0901486189 , 0987581589"	False	False	True	Nguyễn Trường Tộ, Cao Thắng, Ngô Thời Nhiệm, Đào Duy Từ, Phú Nhuận	Nguyễn Trường Tộ, Phường 17, Quận Bình Thạnh	Nguyễn Trường Tộ, Cao Thắng, Ngô Thời Nhiệm, Đào Duy Từ, Phú Nhuận
Bán nhà phố Thái Hà, Đống Đa, gần ô tô, nhà đẹp ở ngay 4 tầng 39 m2 giá 7 tỷ	8200000	39.0	4.0	3.0	Thái Hà	"Phố VipThái Hà - Nhà Đẹp - Gần Phố - Đủ Công Năng- 5m Ra Ô tô tránh KD onlie hoặc văn phòng đều được
- Nhà mới Xây Dựng Được Vài Năm Chủ ở Cực Giữ Gìn Sạch Sẽ.
- Tầng 1 Bếp phòng Khách cầu thang giữa
- Tầng 2,3 : mỗi tầng 2 phòng ngủ
- Tầng 4 phòng thờ
- Sổ đỏ chính chủ sẵn sàng giao dịch
Giá có thương lượng"	False	True	True	dường Thái Hà, Phường Đống Đa	Thái Hà	dường Thái Hà, Phường Đống Đa
NHÀ Ở SẴN, Ô TÔ VÀO TẬN CỬA, NGÕ NÔNG, GẦN HỒ TÂY – XUÂN LA, TÂY HỒ	7	35.0	3.0	4.0		"NHÀ Ở SẴN, Ô TÔ VÀO TẬN CỬA, NGÕ NÔNG, GẦN HỒ TÂY – XUÂN LA, TÂY HỒ

Nhà cách mặt phố Xuân La 50m, ngõ nông, rộng, ô tô vào tận cửa, chỉ vài bước chân ra đến Hồ Tây.

Dt 35m2 x 5 tầng, nhà thiết kế đầy đủ công năng, phòng khách, bếp, 3 PN, phòng thờ, sân phơi.

Tiện ích ngập tràn, giao thông thuận lợi tiện ra các đường Xuân Đỉnh, Võ Chí Công, Lạc Long Quân,…

Sổ đỏ chính chủ, vuông vắn – Giá 5.5 Tỷ (Có thương lượng)

Liên hệ: 0825420555"	False	False	True	ngõ nông, Xuân La, Quận Tây Hồ	ngõ nông, Xuân La, Quận Tây Hồ	ngõ nông, Xuân La, Quận Tây Hồ
GÀ ĐẺ TRỨNG VÀNG - DÒNG TIỀN 350TRIỆU/NĂM - 7 PHÒNG CHO THUÊ FULL ĐỒ SANG SỊN- KIM GIANG - HOÀNG MAI - 4.95 TỶ - 42M2	5.5	42.0	7.0	7.0		"- 4.95 TỶ, 5 TẦNG, 42M2
- Khu vực trung tâm quận giáp danh Thanh Xuân - Hoàng Mai. Mật độ cho thuê lúc nào cũng full phòng. Gần rất nhiều các trường đại học lớn sinh viên đông đúc. Rất gần ô tô, ngõ đẹp, giao thông thuận tiện.

- Thiết kế: 7 phòng Full đồ.
* Tầng 1: Để xe + 1 phòng khép kín.
* Tầng 2,3,4: Mỗi tầng 2 phòng + wc.
* Tầng 5: Máy giặt + sân phơi.
- Sổ đẹp phân lô.
- Liên hệ: 0343314944 - 0373786695 hoặc zalo để xem nhà"	True	True	True	Khu vực trung tâm quận giáp danh Thanh Xuân - Hoàng Mai	Khu vực trung tâm quận giáp danh Thanh Xuân - Hoàng Mai	Khu vực trung tâm quận giáp danh Thanh Xuân - Hoàng Mai
NHÀ MỚI CHỈ VIỆC XÁCH VALI VÀO Ở KHÔNG CẦN SUY NGHĨ NHIỀU- PHAN HUY ÍCH PHƯỜNG 14 GÒ VẤP	4.95	62.0	3.0	3.0		"????????????NHÀ MỚI CHỈ VIỆC XÁCH VALI VÀO Ở KHÔNG CẦN SUY NGHĨ NHIỀU- PHAN HUY ÍCH PHƯỜNG 14 GÒ VẤP

Mô tả:
Dt : 4 x 15m giá 3 TỶ 6
+ Hiện trạng: 1 trệt 1 lầu gồm PK, Bếp, 2PN, 2WC.
+ Hẻm xe hơi đỗ cửa. Cách 30M ra hẻm mặt tiền.
+ Sổ hồng riêng chính chủ trang bìa nở hậu nhẹ.
+ Pháp lý chuẩn, công chứng ngay.
Lh 0969770900 duy xem nhà trực tiếp"	False	False	True	Phan Huy ích, Phường 14, quận Gò Vấp	Phan Huy ích, Phường 14, quận Gò Vấp	Phan Huy ích, Phường 14, quận Gò Vấp
NHĨNH 3TỶ = 4x10m/2Tầng ĐÚC - LÊ VĂN THỌ, ĐI BỘ RA CV LÀNG HOA	3.6	40.0	2.0	2.0	Quận Gò Vấp HCM	"NHĨNH 3TỶ = 4x10m DTSD 80m2 - LÊ VĂN THỌ, ĐI BỘ RA CV LÀNG HOA

Nhĩnh 3tỷ = 4x10m, DTSD 80m2 - Lê Văn Thọ, Đi Bộ Ra CV Làng Hoa
Sổ Hồng Riêng, Lộ Giới Tí Xíu
Kết Cấu: 1 Trệt 1 Lầu Bê Tông Cốt Thép, DTSD 80m2, 2PN 2WC
Vị Trí: CV Làng Hoa Vài Bước Chân, Không Ngập Nước
Sổ Chính Chủ, Hổ Trợ Vay Bank 70% Nhà. Công Chứng Trong Ngày
☏ ZALO: 0976728136 ( THANH QUANG 37 )
Ký Gửi – Mua Bán - Tư Vấn - BĐS HCM"	False	True	True	Lê Văn Thọ, Đi Bộ Ra CV Làng Hoa	Quận Gò Vấp HCM	Lê Văn Thọ, Đi Bộ Ra CV Làng Hoa
BÁN NHÀ 2 MẶT TIỀN ĐƯỜNG VÕ TRƯỜNG TOẢN 100m2	3350		3.0	1.0	Võ trường toản	"Bán nhà 2 mặt tiền đường Võ Trường Toản. Ninh kiều. Cần Thơ ( Pháp lý rõ ràng , giấy tờ đầy đủ )
Trung tâm sầm uất ở Ninh kiều
Đối diện là Trường Tiểu học.
Bên hông hẻm 4 mét. Cách Trường Đại học Kỹ Thuật Công Nghệ Cần Thơ chỉ vài phút.
Cách Công An Quận Ninh Kiều chỉ vài phút đi bộ.
Gần chợ , bệnh viện , siêu thị…
Địa điểm rất đẹp phù hợp cho việc kinh doanh và ở.
Ngang 5 - Dài 20
Giá 14 tỷ 500 có thương lượng
0939.933.931 Gặp Hương! Chính chủ ????
( MIỄN TRUNG GIAN )"	False	True	True	đường Võ Trường Toản, Ninh Kiều, Cần Thơ	Võ trường toản	đường Võ Trường Toản, Ninh Kiều, Cần Thơ
Hot hot hot đáo hạn ngân hàng cần tiền bán gấp nhà mặt tiền đường Quận 1	60	140.0				"Cần bán gấp căn mặt tiền Phùng Khắc Khoan, Q1
DT 7x20m công nhận đủ
Kết cấu: 4 tầng
HĐT 105tr
Chốt gấp giá 50 tỷ TL cho khách có thiện chí mua"	False	False	True	Phùng Khắc Khoan, Quận 1	Phùng Khắc Khoan, Quận 1	Phùng Khắc Khoan, Quận 1
