Title	Price	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	ExtractedTitle	Address1	Address2
Nhà hẻm 3m yên tĩnh, 2 phòng ngủ, chỉ 4,19 tỷ	3.55	38.0	2.0	2.0		"Nhà Hoàng Hoa Thám, Phường 5, Bình Thạnh
+ Diện tích: 3m x 12.5m = 38m2
Kết cấu: 1 trệt 1 lầu: 2 phòng ngủ, 2wc.
+ Vị trí: hẻm 3m.
Hotline : Duyên 0908638007 để biết thêm chi tiết.
Hình minh họa"	False	False	True	Nhà Hoàng Hoa Thám, Phường 5, Bình Thạnh	Nhà Hoàng Hoa Thám, Phường 5, Bình Thạnh	Nhà Hoàng Hoa Thám, Phường 5, Bình Thạnh
BÁN NHÀ DV Vạn Phúc Hà Đông 50M 5 tầng Mặt tiền rộng giá 8.9 tỷ (còn bớt)	4.19	50.0	5.0	4.0	VẠN PHÚC	"BÁN NHÀ DV Vạn Phúc Hà Đông 50M 5 tầng Mặt tiền rộng giá 8.9 tỷ (còn bớt)
Mô tả :
Nhà Phân lô ô tô tránh vị trí đẹp vừa ở vừa làm văn phòng cực đẹp.
Vị trí : Gần trường học Vạn Bảo vài bước ra phố Lê Văn Lương Tố Hữu thông thương thuận tiện.
-Nhà chủ thiện chí bán tặng full nội thất khách mua sách va li về ở ngay.
-Nhà chủ thiết kế nội thất nhập khẩu, cầu thang gỗ lim sáng bóng .
Thiết kế :
-Tầng 1: Thông sàn, wc phòng tiếp khách.
-Tầng 2: Thông sàn, phòng khách rộng, bếp, wc.
-Tầng 3,4: Tổng 4 ngủ, wc khép kín.
-Tầng 5: Phòng thờ, sân phơi.
-Sổ đỏ phân lô vuông đẹp.
-Liên hệ Nguyên Anh: 0819508701 để tư vấn, xem nhà miễn phí."	True	True	True	Vạn Phúc, Hà Đông	VẠN PHÚC	Vạn Phúc, Hà Đông
???? NHÀ NGON MỚI CẬP BẾN KÍNH MỜI ANH CHỊ EM ????	8.9	50.0	5.0	5.0		"???????????? SIÊU HOT ????????????

????SỐC CHỦ GẤP BÁN GIẢM CHÀO HẲN 1 TỶ CHỈ CÒN NHỈNH 10 TỶ SỞ HỮU NGAY CĂN NHÀ ĐƯỜNG 3/2
???? DT 50m2 - SỔ VUÔNG VỨC
???? 4 TẦNG BTCT - 5PN - ĐANG CHO THUÊ 20tr/tháng
???? Ô TÔ VÔ NHÀ ????????????
???? VỊ TRÍ CỰC ĐẸP- KINH DOANH ĐỈNH
???? KHÔNG CÓ CĂN THỨ 2
☎️Liên hệ HỒNG RUBY ( Zalo )
???? Xem nhà chi tiết ( 24/7 )"	False	True	True	đường 3/2	đường 3/2	đường 3/2
Nhà Lô Góc, Ngõ Rộng Rãi, Gần Phố, 38M2 x 5 Tầng – Trần Thái Tông, Cầu Giấy – 6 Tỷ	10	38.0	3.0	4.0		"Nhà Lô Góc, Ngõ Rộng Rãi, Gần Phố, 38M2 x 5 Tầng – Trần Thái Tông, Cầu Giấy – 6 Tỷ

Vị trí trung tâm quận Cầu Giấy, Trần Thái Tông, Xuân Thuỷ, Cầu Giấy, Nguyễn Phong Sắc.

Nhà thiết kế đầy đủ công năng, 3 PN, khách, bếp, sân phơi, trước nhà thoáng rộng rãi, sân lát gạch đỏ, xe ba gác vào tận cửa, SH trước nhà quay đầu.

Dân trí cao, tiện ích nhiều, trường học, bệnh viện, chợ, công ty,…

Sổ đỏ đẹp, chính chủ - 6 Tỷ.

Liên hệ: 0825420555"	False	False	True	Trần Thái Tông, Xuân Thuỷ, Cầu Giấy, Quận Hà Đình	Trần Thái Tông, Xuân Thuỷ, Cầu Giấy, Quận Hà Đình	Trần Thái Tông, Xuân Thuỷ, Cầu Giấy, Quận Hà Đình
Nhà siêu xinh nằm ngay quận Hai Bà Trưng, Minh Khai, Hà Nội, tiện ích đầy đủ	6	30.0				"Hàng xóm Timecity 3 bước ra Timecity hưởng trọn tiện ích của Timecity, nhà sau quy hoạch ra sát đường lớn giá trị tăng cao. gần trường học và bệnh viện,
-Nhà 5 tầng thiết kế:
T1: Khách Bếp Wc
T2,3: Mỗi tầng 1PN 1Wc
T4: phòng ngủ phòng thờ
T5: Tum, sân phơi đồ
sổ đỏ vuông vắn
Liên hệ ngay với em Nhung để mua. miên Trung gian (+84)0395589859"	False	False	True	 ناح Hai Bà Trưng, Minh Khai, Hà Nội	 ناح Hai Bà Trưng, Minh Khai, Hà Nội	 ناح Hai Bà Trưng, Minh Khai, Hà Nội
chủ cần bán nhà siêu xinh tại Phố Lạc Trung .Minh Khai. Hà Nội. liên hệ :0395589859	3.65	35.0				"Hàng xóm Timecity 3 bước ra chợ hưởng trọn tiện ích xung quanh, gần trường học và bệnh viện, khu dân cư vui nhộn
-Nhà 5 tầng thiết kế:
T1: Khách Bếp Wc
T2,3: Mỗi tầng 1PN 1Wc
sổ đỏ vuông vắn
Liên hệ ngay với em Nhung để mua. miên Trung gian (+84)0395589859"	False	False	True	Phố Lạc Trung, Minh Khai, Hà Nội	Phố Lạc Trung, Minh Khai, Hà Nội	Phố Lạc Trung, Minh Khai, Hà Nội
Nhà 3 tầng ô tô đỗ cửa, gần siêu thị Aeon Tân Phú. 3.6 tỷ	2	42.0	3.0	2.0	Lý Tuệ, Tân Quý, Tân Phú	Nhà kết cấu 1 trệt 1 lửng 1 lầu, gồm 3 phòng ngủ, 2 vệ sinh, ban công thoáng mát. Hẻm trước nhà 4m sạch sẽ, gần mặt tiền. Vị trí ra siêu thị Aeon gần. Tiện ích đầy đủ. Sổ hồng riêng, pháp lý chuẩn. Liên hệ anh Võ: 0909 100 817. Không tiếp trung gian.	False	False	True	Tân Phú	Lý Tuệ, Tân Quý, Tân Phú	Tân Phú
Nhà ngay trường ĐH Công Nghiệp, hẻm 4m, cách MT 20m, 3 phòng ngủ	3.6	52.0	3.0	2.0		"Nhà Nguyễn Văn Nghi, Phường 5, Gò Vấp
+ Diện tích: 4m x 13m = 52m2
Kết cấu 1 trệt – 1 lầu BTCT: 3 phìng ngủ, 2wc, ban công
+ Vị trí: hẻm 4m, cách MT 20m
Nhà còn mới
Hotline : Duyên 0908638007 để biết thêm chi tiết.
Hình minh họa"	False	False	True	Nguyễn Văn Nghi, Phường 5, Gò Vấp	Nguyễn Văn Nghi, Phường 5, Gò Vấp	Nguyễn Văn Nghi, Phường 5, Gò Vấp
Nhà Bán gò Vấp, Phạm Văn Chiêu, P13, 2 Tầng, Ở Ngay, 25m2, Sổ Vuông.	5.4	64.0	2.0	2.0		"Bán Nhà Gò Vấp.
MÔ TẢ:
+ Kết cấu: 1 trệt 1 lầu, BTCT, 2PN, 2WC, ban công phía trước và có cửa phía sau rất thoáng mát.
+ Chủ tự xây từ móng lên rất chắc chắn, đứng tên đầu sổ.
+ Sổ vuông vức A4, hoàn công đầy đủ.
+ DT 25m2 là tính luôn lộ giới nhưng nhà đã xây full.
+ Hẻm rộng 3m thông, cách 10m là hẻm xe hơi đậu.
+ Sổ đẹp vuông vức, không quy hoạch, pháp lý rõ ràng, chủ thiện chí giao dịch và công chứng ngay.
- Gọi ngay 0935610440 (Zalo) Mr Vinh xem nhà, đất trực tiếp.
- Bất động sản nhà phố Sài Gòn - Nhà đất giá rẻ - Gặp Chính Chủ Thương Lượng
#batdongsannhaphosaigon"	False	False	True	Phạm Văn Chiêu, Phường 13, Quận Gò Vấp	Phạm Văn Chiêu, Phường 13, Quận Gò Vấp	Phạm Văn Chiêu, Phường 13, Quận Gò Vấp
Nhà Bán Gò Vấp, Phường 8, Quang Trung, 4 Tầng, 64m2, Full Nội Thất, Sổ Chuẩn A4, Hoàn Công Đủ	2.82	64.0	4.0	4.0		"Bán Nhà Gò Vấp.
Quang Trung, Phường 08, Gò Vấp.
Mô tả:
+ Nhà mới vào ở ngay, tặng hết nội thất cao cấp, chính chủ.
+ Diện tích: 4x16M, sân nữa là dài 17M.
+ Kết cấu: 1 trệt 2 lầu, sân thượng. Tổng 4 Phòng ngủ Full nội thất cao cấp.
+ Hẻm ô tô vào nhà, sổ vuông, hoàn công đầy đủ..
- Gọi ngay 0935610440 (Zalo) Mr Vinh xem nhà, đất trực tiếp.
- Bất động sản nhà phố Sài Gòn - Nhà đất giá rẻ - Gặp Chính Chủ Thương Lượng
#batdongsannhaphosaigon"	False	False	True	ÐࡤÑPRECQUENCE Quang Trung, Phường 08, Gò Vấp	ÐࡤÑPRECQUENCE Quang Trung, Phường 08, Gò Vấp	ÐࡤÑPRECQUENCE Quang Trung, Phường 08, Gò Vấp
