Title	Price	Links	Diện tích (m2)	Số phòng ngủ	Số phòng WC	Địa chỉ	Description	Chỗ để xe hơi	Đang cho thuê	CSVC xung quanh	Mặt tiền	index	Số tầng	ExtractedTitle	Address1	Address2
bán gấp nhà tại nguyễn văn trỗi, phường 8, phú nhuận.	1.35	https://batdongsan.vn/ban-gap-nha-tai-nguyen-van-troi-phuong-8-phu-nhuan-r254561	15.0	2.0	2.0		"- địa chỉ: nguyễn văn trỗi, phường 8 phú nhuận.
- diện tích:15 m2 (2.5x6.3)
- giá: 1.35 tỷ.
- kết cấu: 1 trệt 1 lầu 1 lửng, 2 wc.
- vị trí quá tuyệt vời. chỉ cách mặt tiền có đúng 20m. ngay đoạn đầu, khu vip gần công viên hoàng văn thụ, đi đâu cũng cực gần.
- vị trí đẹp gần mặt tiền. hẻm to sạch đẹp, 3 gác vô tư, thông hoàng văn thụ.
- hẻm cực kì an ninh, sạch đẹp."	False	False	False	False	0	2.0	nguyễn văn trỗi, Phường 8, Quận Phú Nhuận	nguyễn văn trỗi, Phường 8, Quận Phú Nhuận	nguyễn văn trỗi, Phường 8, Quận Phú Nhuận
nhà đẹp 2 tầng hxh thống nhất 45m - giá 3 tỷ 77 tl	3.77	https://batdongsan.vn/nha-dep-2-tang-hxh-thong-nhat-45m-gia-3-ty-77-tl-r254559	45.0	2.0	2.0		"nhà đẹp đa công năng, hiếm, giá tốt chỉ 3 tỷ 77tl

- nhà mới mua vào ở ngay, kết cấu 1 trệt 1 lầu, đầy đủ công năng. diện tích 45m, ngang gần 5m, nhà vừa ở vừa kinh doanh, hẻm xe hơi sát mặt tiền thống nhất
- giá bán 3 tỷ 77 còn thương lượng

khách thiện chí gọi nhanh số 0825-519-011 để xem nhà và gặp chủ"	True	False	False	False	1	2.0	hẻm Xuân Hồng, đường Thống Nhất	hẻm Xuân Hồng, đường Thống Nhất	hẻm Xuân Hồng, đường Thống Nhất
phá sản bán gấp nhà nguyễn thị thập - 46m2 2.1 tỷ	2.1	https://batdongsan.vn/pha-san-ban-gap-nha-nguyen-thi-thap-46m2-21-ty-r254556	46.0	2.0	2.0	Nguyễn Thị Thập, quận 7	"phá sản bán gấp nhà hẻm đường nguyễn thị thập, phường bình thuận, quận 7
dt: 46m2 (ngang 4m, dài 11.5m)
nhà gồm 2 phòng ngủ, 2 toilet, phòng khách, bếp
khu vực nhà gần: trạm xăng, ngân hàng, nhà thuốc, go ntt,…
hẻm rộng, sạch sẽ
khu dân cư đông đúc, dân trí
sổ hồng riêng, chính chủ, sang tên công chứng trong ngày
giá: 2.1 tỷ"	False	False	False	False	2	1.2	đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7	Nguyễn Thị Thập, quận 7	đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7
bán gấp nhà lê văn sỹ, ngang 4.5m, hxh, 2 mặt thoáng, chỉ nhỉnh 6 tỷ	6.5	https://batdongsan.vn/ban-gap-nha-le-van-sy-ngang-45m-hxh-2-mat-thoang-chi-nhinh-6-ty-r254553	55.0			Lê Văn Sỹ, Phú Nhuận	"+ nhà kết cấu 3 tầng, 3 phòng ngủ lớn, phòng khách, bếp rộng rãi
+ diện tích đẹp, nở hậu đón tài lộc, 4.5mx11m
+ hẻm xe hơi đậu cửa, có nhiều hướng tới nhà
+ giao thông vô cùng thuận lợi, đi đâu cũng tiện, quận 1, quận 3 chỉ 5 phút, xung quanh là phạm văn hai, huỳnh văn bánh, trần quang diệu
+ sổ hồng riêng, chính chủ, pháp lý sạch
+ lh: em quang 0973002442 để xem nhà và thương lượng chính chủ"	True	False	False	False	3	3.0	Lê Văn Sỹ	Lê Văn Sỹ, Phú Nhuận	Lê Văn Sỹ
nhà mặt tiền tôn thất đàm full nội thất gỗ	3.19	https://batdongsan.vn/nha-mat-tien-ton-that-dam-full-noi-that-g-r254548	124.0	2.0	1.0		"nhà mặt tiền tôn thất đàm full nội thất gỗ
✅ diện tích: 124m2 ( ngang 6,2m )
✅ hướng: đông nam
✅ sổ hồng chính chủ , nhà đã hoàn công
???? vị trí đẹp cao ráo, yên tĩnh, thoáng mát
???? nhà thiết kế hiện đại, tiện nghi cho an cư
???? giá: 3 tỷ 1x ( thương lượng chính chủ )
☎️ liên hệ: 0799191152 gặp em văn để nhận thêm thông tin và xem nhà ngay."	False	False	False	True	4	0.2	đường Tôn Thất Đàm	đường Tôn Thất Đàm	đường Tôn Thất Đàm
5,5 tỷ hxh cx phan đăng lưu 4.3x11 p3 bình thạnh	5.5	https://batdongsan.vn/55-ty-hxh-cx-phan-dang-luu-43x11-p3-binh-thanh-r254542	47.0	3.0	2.0		"lô góc- hẻm xe hơi- khu cư xá phan đăng lưu- trung tâm bình thạnh 2 phút tới dakao

5,5 tỷ mặt tiền cx phan đăng lưu 4.3x11 p3 bình thạnh
+ lô góc, 2 mặt tiền 3pn, 2wc, khu an ninh
+ khu hiếm nhà bán, còn căn duy nhất 5,5 tỉ
+ đối diện uỷ ban quận bình thạnh, thông lê văn duyệt, nguyễn duy, ung bướu..."	True	False	False	True	5	1.6	đường Phan Đăng Lưu, Phường 3, Quận Bình Thạnh	đường Phan Đăng Lưu, Phường 3, Quận Bình Thạnh	đường Phan Đăng Lưu, Phường 3, Quận Bình Thạnh
hxh 4x12 lê đức thọ 3pn phường 8 gò vấp	4.98	https://batdongsan.vn/hxh-4x12-le-duc-tho-3pn-phuong-8-go-vap-r254540	48.0	3.0	2.0		"hẻm xe hơi - 2 tầng đúc - full nội thất an ninh dân trí làng hoa
đẹp 4x12 hxh lê đức thọ 3pn p 8 gò vấp

- kết cấu 2 lầu, tổng 3pn, 2wc, tặng nội thất ở ngay
- nhà mới, hẻm xe hơi thẳng1 trục 4,98 tỷ
- kế bên là công viên, trường học…."	True	False	True	False	6	2.0	hẻm xe hơi Lê Đức Thọ, Phường 8, Quận Gò Vấp	hẻm xe hơi Lê Đức Thọ, Phường 8, Quận Gò Vấp	hẻm xe hơi Lê Đức Thọ, Phường 8, Quận Gò Vấp
nhà đẹp 4 tầng khu đồng bộ nguyễn tư giản - 75m- giá 7 tỷ 6 tl	7.6	https://batdongsan.vn/nha-dep-4-tang-khu-dong-bo-nguyen-tu-gian-75m-gia-7-ty-6-tl-r254527	75.0	4.0	4.0		"nhà mới đẹp , xe hơi ngủ trong nhà, giá 7 tỷ 6 tl

- kết cấu 1 trệt 3 lầu, sân thượng, nhà mới đẹp đầy đủ công năng vô ở liền
- vị trí quá ok, toàn cán bộ cấp cao ở, nhà có gara để xe hơi riêng
- tặng nội thất đi kèm
- sổ hồng mua bán sang tên nhanh
- giá bán 7.6 tỷ thương lượng

- nhanh tay gọi 0825-519-011 để xem nhà và thỏa thuận giá"	True	False	False	False	7	4.0	Nguyễn Tư Giản, Khu Đô Thị 	Nguyễn Tư Giản, Khu Đô Thị 	Nguyễn Tư Giản, Khu Đô Thị 
bán nhà 2 tấm quang trung, gò vấp - dt 45m - giá 4 tỷ 3	4.3	https://batdongsan.vn/ban-nha-2-tam-quang-trung-go-vap-dt-45m-gia-4-ty-3-r254523	45.0	2.0	2.0		"nhà xây full diện tích 45m, vị trí đẹp, giá 4 tỷ 3

- kết cấu 1 trệt, 1 lầu, rộng rãi thoáng mát, diện tích 45m, hẻm xe hơi sát vách, khi an ninh, yên tĩnh, nhà ở có lộc, sổ hồng chính chủ mua bán nhanh
- gia 4 tỷ 3 tl, gặp chủ thương lượng giá tiếp

nhanh tay gọi 0825-519-011 để xem nhà và gặp chủ"	True	False	False	False	8	2.0	đường Quang Trung, Quận Gò Vấp	đường Quang Trung, Quận Gò Vấp	đường Quang Trung, Quận Gò Vấp
mặt tiền đường tên lửa kinh doanh tốt 4,5x18m 4 tầng, chỉ 13tỷ	13.0	https://batdongsan.vn/mat-tien-duong-ten-lua-kinh-doanh-tot-45x18m-4-tang-chi-13ty-r254520	81.0				"- chủ nhà kẹt vốn bán gấp căn nhà mặt tiền đường tên lửa cam kết thông tin thật
- diện tích nhà ngang 4,5 m dài 18 m
- nhà xây 4 tầng lầu 1 tầng trệt sân thượng đầy đủ
- giá có thương lượng cho khách thiện chí

liên hệ 0888023189 an minh vũ xem nhà và thương lượng chính chủ"	False	False	False	True	9	4.0	đường Tên Lửa	đường Tên Lửa	đường Tên Lửa
